ID	Context
0	恭喜你！老板娘！不愧是你！非常顺利！
1	呼……呼，虽然撑下来了，但总觉得很对不起大家……
2	看到她们吃到辣椒素夺门而出的时候，就觉得作为厨师的立场，整个都崩塌了呀——
3	丰姬大人偶尔是会有些小小的恶作剧……
4	不过这是非常情况，也是大家自愿来和你对决，输了的人只能自食其果了嘛。
5	话是这么说……
6	依姬大人好！我完成第一阶段的任务了，向您复命！
7	嗯，看样子一切顺利。那么——
8	这……这是？
9	嘘——依姬大人正在收集这里的能量献给神明。
10	哇！就像是巫女一样呢！
11	八百万神明，聆听我言，驱使我手中之力，断恶灵之“贪”。
12	将其折服，使其湮灭，驱魑魅魍魉，使我明目————
13	破——！！！！！
14	哇哇哇哇哇哇哇————！！！
15	依姬大人辛苦了！
16	嗯，第一阶段，进行的很顺利，你们也辛苦了。
17	那么，抓紧时间，尽快继续接下来的试炼，我先走了。
18	是的！我会继续完成任务！
19	依姬小姐真的非常帅气，举手投足都透露出不容质疑的可靠呢。
20	是的，依姬大人就是那样一位充满魅力的长官。
21	但是，刚刚她做了什么呢？收集的能量又去哪里呢？
22	我也不知道……依姬大人一定有着她重要的原因和目的。我们只要听从吩咐就好了。
23	好……我明白了。
24	对了，还有一个很重要的事情！
25	嗯？
26	依姬大人说，对顺利完成训练的你，也要给一些“甜头”，所以——
27	嗯嗯？是有什么让人心动的奖励吗？！
28	接着这个！
29	嗯？这个是？
30	据说是依姬大人以前独自修炼所获得的一个小道具，可以在城中心的纪念碑处使用，它的作用是……什么来着？
31	对了，被放入盒子的食材，就会受到“月之再生”的保护，那个食材就可以不受限制无限使用了！
32	什么！！？
33	八百万神啊！————这正是我期望的终极奖励呀！！！
34	谢谢依姬小姐！也谢谢你！这是我做梦都想拥有的东西！
35	嘿嘿，动力一下就有了吧？通过接下来的试炼也可以拿到其他的盒子哦，听说一共有3只呢。
36	真的吗！？我一定会加倍努力的！为了奖励——
37	真不愧是依姬大人呀，马上就把200%的动力调动起来了。
