ID	Context
0	果然不愧是幻想乡最有名的料理人，第二次训练也顺利通过了。
1	这一次，加辣椒精的负罪感竟然减轻了呢，看着大家肿着脸逃掉的样子，怎么说呢……
2	作为妖怪的那种作怪的本能逐渐开始占了上风呀……
3	老板娘不会打开了奇怪的开关，以后回不去了吧？
4	倒不如说，这正是很久以前的我……
5	是在与料理邂逅之后，才逐渐改变成了今天的样子。
6	哈哈哈，没想到你也有喜欢恶作剧的一面呢。
7	依姬大人，您来了！我完成第二阶段任务了！
8	嗯，干得不错。那么接下来就继续由我——
9	果然，再看到这一幕，也依然会觉得很震撼呀。
10	这就是我们所信赖的，依姬大人的力量啊。
11	迦具土神，听我驱遣，借我手中之力，焚恶灵之“嗔”——
12	灼其爪牙、燃其筋骨，以秽火净化沉渣浮沫，使我清醒——
13	破——！！！！！
14	依姬大人辛苦了！
15	嗯，第二阶段也非常顺利，只剩最后一个阶段了。
16	留给幻想乡的时间已经不多了，快点拿出结果。
17	是——！
18	依姬小姐还是那样冷峻又可靠呢。
19	看着她就让人觉得，只要跟着她一切事情最终都能迎刃而解。
20	是吧？有依姬小姐这么强大的存在来担当月之使者的首领，虽然训练累一点，但心里还是很踏实的。
21	我也想追上她的脚步！一定要尽快完成最后阶段的训练！
22	但在那之前，喏——
23	太好了！就等着它呢——！
24	从你的眼睛里我就看出迫不及待啦，刚完成试炼后的瞬间就开始了。
25	毕竟、我真的很期待它嘛——！它现在是我最最最重要的附加目标了！
26	我现在的心情就像上了喷射器一样，期待着下一次的胜利！
27	就是这股劲！加油哦！
