ID	Context
0	恭喜你！你做到了！了不起！老板娘！
1	这样、这样训练任务就完成了对吗？
2	完美的完成了呢！怎么回事，看着你的样子，我的鼻子都有点酸了——
3	谢谢你为我高兴！能够顺利通过，我也有点想哭了——
4	依姬大人！我已经完成了您交代的三项训练任务，现在向您复命！
5	你做的很好。
6	你也是，你的表现超出了我的期待。干得漂亮。
7	闲话稍等后再说，在力量消散前，我先完成我的工作。
8	月读之神、吾之统领，请以我手中微薄之力，断恶灵之“痴”——
9	挫其意志、断其魂魄，灭却残渣余孽，使我无往不利——
10	破——！！！！！
11	这次好像力量更加强劲，不愧是我们的大统领……月夜见大人的力量！
12	呼——总算准备完成了。
13	依姬大人辛苦了！
14	看来一切都准备就绪了呢～
15	丰姬大人！
16	姐姐还真是会掐时间……已经都准备好了。
17	辛苦你了，小麻雀、小铃仙也辛苦了呢～大家都好好的完成了职责，现在的话，已经有七成以上的把握了。
18	大家辛苦了！可是——依姬小姐到底做了什么准备呢？我至今完全不明白……
19	属下也想知道！
20	啊呀？依姬还没有说过吗？
21	……是的。
22	依姬总是这样呢。即使抱持着好意，也不擅长好好说清楚，在地上是不是叫做闷葫芦～
23	姐姐——！！
24	那么，好吧。就由我来说明吧——依姬她一直在做的事。
25	这次的对手，宫出口瑞灵，是长年的恶灵，所擅长的能力是精神攻击。
26	而精神攻击也大致可以分为干扰型，控制型，毁灭型。
27	是那种听起来就很难搞的目标呢……
28	这次的敌人，正是干扰型和控制型精神攻击的好手。
29	我们已知她可以控制其他人的肉体，完美的模仿对方的技能。这点通过至今为止的“微动”特训，已经有所对策。
30	而依姬一直在做的，是制约她在干扰方面的能力。
31	宫出口一定会在抓捕当日，不择手段地对所有人进行精神攻击，好让自己的处境更有利。
32	你也不想，与一群被她用精神干扰能力给变成“疯子”的客人作战吧？
33	会这么……严重吗？
34	就是这样严重，宫出口瑞灵的三项精神恶咒，分别为“贪”、“嗔”、“痴”。
35	恶咒·贪，会让你失去食材的记忆，已用过的食材会在一段时间内会被忘却，无法重复使用；
36	恶咒·嗔，会让客人快速失去耐心，狂躁不已，甚至冻结耐心的能力也无法奏效。
37	恶咒·痴，是定时对你本人的精神攻击，打乱你的五感，让你的行为不能自已——
38	你专注度到达最高所进入的那个“Zone”，也就是“热火朝天”状态也会丢失。
39	在精神攻击来临前，必须集中精神才能回避，有人通过默念质数或念诵佛经来统一精神，回避伤害，如果是你的话……
40	我、我该怎么做！？
41	小麻雀不是会唱歌嘛，就在心里拼命的唱激烈的歌曲来抵抗就好。
42	诶？
43	没错，抵抗干扰的方法，就是在自己的精神当中持续发出规律的声音，或者比干扰更响的噪音。
44	这……这……真的是……
45	无法想象在这样的情况下，我应该如何作战……
46	我要面对的敌人竟然这么可怕……
47	我所做的，就是从你的食堂中收集指定的能量，通过神明的力量来增幅，最终干扰和中和敌人的精神能量。
48	因为你的努力和专注，所收集到的能量非常的充足，已经顺利将敌人的能力化解了。
49	我？为什么我的力量可以中和敌人的能量？？
50	因为你是夜雀的妖怪呀。
51	咦？！
52	对呀！——老板娘是夜雀妖怪，也就是说——！！
53	嗯？是、是什么意思！？
54	你还没有意识到吗？精神攻击，不正是你的看家本领吗？
55	将狂气灌入到歌声中，让人类的意识变的薄弱，或者失去自制力。
56	在成为厨娘之前，这种恶作剧不就是你每天的日常吗？
57	对呀！我、我都快忘记了……在很久之前，我曾经过着这样的生活……
58	我真是不称职的妖怪……
59	精于专业最后到忘我的程度，我很敬佩老板娘！
60	这算是浪子回头的戏码吗？呵呵～
61	真是个彻头彻尾的“鸟脑袋”啊——！
62	但也正因如此，你的天赋能力，在你专注于食堂工作时，更是强劲到能够感染包括神明在内的所有生物。
63	原来是这样……
64	正是这份能量，增幅后就能完美地中和敌人的能力，对方是长年怨念所沉淀的精神力，你有常年自强所积攒的精神力——
65	你正是她完美的天敌也说不定。这是我完全没想到的。
66	……不，理应如此吧。毕竟是师父大人所相中的人。
67	师父大人她……一定早已看到了比我们目历之处更加遥远的未来吧。
68	……是呢，师父大人，就是那样的人呀……
69	依姬小姐……丰姬小姐……
70	不是沉湎在过去的时候了哟，这把破魔的太刀我们已经打磨好了。
71	没错，是时候将它直接插入邪魔的心脏，一举消灭它了！
72	米斯蒂娅·萝蕾拉——
73	是、是的！
74	你在这里的修炼已经全部完成了，接下来就是赶快回到地面上，击败敌人。
75	我在这里等待你胜利的捷报。
76	我相信你一定没问题的，等你回来请你吃桃子哟～
77	加油！老板娘！还有这个，请收好——
78	太好了！这样就收集到全部3个了！
79	接下来是真正的战斗了，要加油！绝对不能输哦！
80	嗯！！！我不会输的——！！
