ID	Context
0	丰姬小姐！依姬小姐！
1	我还以为我看错了，真的是您二位吗？！
2	哎呀，居然被认出来了——
3	我来之前就已经劝过姐姐，不要穿成这样……
4	可是我听说，在地上听演唱会就是要准备应援服什么的呀。
5	谢谢您，丰姬小姐，依姬小姐！可是，你们不是不能随便到地上来吗……
6	是这样没错。但是最近发生了一些事……
7	诶？
8	探女大人前阵子因公事来到地上，登门拜访了师父大人，这个消息被地上的天狗捕获，还拍了照片，说是什么侵略者密谈……
9	什、什么情况！？
10	这当然是造谣了。地上的妖怪真是……啊，我不是说你，但那个天狗的新闻实在太离谱了！
11	这件事在月都也造成了不小的轰动，高层们也担心这会不会是地上妖怪伺机反击的讯号……
12	怎、怎么会……
13	最后，是探女大人发出指示，委派我们姐妹到地上探查天狗——探查地上的用意。
14	我们先去拜访了师父大人。可师父大人说，这是探女大人的礼物……
15	诶？
16	恐怕是师父大人的主意吧。无论是师父大人还是探女大人，都非常温柔呢～
17	那么，我们就好好享受她们给予的温柔吧。
18	虽然不是很明白，不过你们能来真是太好了！
19	敬请期待地上的演唱会吧！
