id	name	Description
5000	鳗鱼嫩蛋丼	厚切的鳗鱼块抹上特调酱汁，再覆盖一层软嫩的生蛋，在食用前将其搅拌成金灿灿的样子，吃下去超级满足！
5001	竹筒烧醉虾	把新鲜的虾放进醇香的酒中浸泡，再冰镇后淋上香料食用。既可以尝到虾的鲜香，同时也可以尝到酒的洌香，十分可口。
5002	牛肉鸳鸯火锅	一边是魔界辣椒汤底，一边是萝卜牛骨汤底，兼具红白两种汤汁的特色双锅牛肉。一家人，一个锅，两种口味团团圆圆，仿佛有了它就有家的气息。
5003	猫咪可露丽	迷人的焦糖脆外壳与软糯香浓的内心，无论在口感层次变化或者味觉体验都堪称一绝，不愧是“天使的铜铃”——咦？铃铛里居然还藏了只小猫咪！
5004	猫咪披萨	在发酵的圆面饼上面覆盖各种配料烤制而成，完美兼顾了营养和品相，焦糖洋葱的醇香滋味更是为其带来了多重的舌尖享受。可爱的猫咪外形让人有些不忍下嘴呢～
5005	猫咪戏水	猫咪主题的吐司盒。把一整个方块吐司挖空，底部涂上一层奶油，放入一层桃子果酱，再涂上一层奶油，铺一片吐司，加入晶莹剔透的白凉粉，最后再用调色奶油映照出蓝色的水面效果，放入巧克力做的猫咪，就成了一副有趣的猫咪戏水图了。
5006	长发公主	摆盘精致的虾仁南瓜意面。南瓜蒸熟后又甜又糯，用它代替奶油做出来的意面低脂低卡，味道浓郁，营养十足！
5007	海胆信玄饼	以金枪鱼高汤制作的饼身清透干净，与新鲜海胆组成高级的香槟色系搭配，底层的胡麻酱更增一丝醇厚的口感。如此玲珑的甜品，让人不忍破坏这晶莹剔透的美丽。
5008	疯帽子茶会	以魔界茶会为印象制作的甜品。表面看起来是一个巧克力做的茶壶，茶壶的肚子里是层层堆叠的奶油蛋糕，周围装饰着蘑菇和西蓝花，就像某个故事里的巧克力房子一样，是充满了梦幻和不可思议的幸福甜品。
5009	桃花琉璃卷	通过胶凝化技术，把粉嫩可爱的桃花制成晶莹剔透的琉璃果冻外皮，裹着糯叽叽的豆沙馅，记录季节的浪漫与甜蜜。
5010	荷塘月色	清爽细腻的葡萄乌龙冻，白色的是奶油慕斯！奶油的绵密与葡萄的清爽在舌尖碰撞出别样滋味，茶冻间点缀片片青提，馥郁果香充盈唇齿。菏泽上的小露珠也相当有趣～
5011	龙吟桃子	本质上就是用桃子来制作桃子。将桃子作为原材料打碎，最后再还原出最初始的形状，从表面来看似乎是贯彻了一种返璞归真的理念，但制作过程极其繁琐考究。
5012	分子蛋	选用水分较少的北豆腐作为蛋白，甜糯的南瓜作为蛋黄，再用白巧克力做成蛋壳，还原出鸡蛋的模样与口感，让人意想不到呢。
5013	生命之源	初见就像是云山雾罩的神秘星球，打开一看“星球”里竟然摆了个生鸡蛋？仔细看蛋液其实是银耳汤，蛋黄则是南瓜泥。吃起来口感清爽，还有香浓的南瓜味。
5014	火星	特别定制的盘底如火星地表一般，上面盛放着顶级的螃蟹冻以及白葡萄分子技术制作的果凝。螃蟹口感冰凉顺滑不腻，果凝如水滴一般，而且带着淡淡酒香。寓意火星上一滴水珠，代表着最后的希望。
5015	养心粥	口味偏甜、营养丰富的银耳莲子粥。滋润而不腻滞，还具有养心安神的功效。
5016	胡辣汤	由多种天然中草药按比例配制的汤料，再加入胡椒和辣椒，又用骨头汤做底料的牛肉胡辣汤，喝一口就能驱散瞌睡虫。
5017	至尊海鲜面	以海鲜汤料煨煮的汤面，劲道爽滑，汤浓鲜美，是一道非常豪华的家常菜。凭一碗海鲜面，便能让人记住深藏着的大海的味道。
