ID	Context
0	爱莲小姐的魔法店生意好像很好呀——
1	大家都很关照“蓬松松爱莲”的生意，真是太感谢了♡！当然我也会继续加把劲的～
2	说起来，我在幻想乡也认识一个开魔法店的魔法使。
3	这是很多魔法使会选择的工作。不过不同魔法使的店风格都大不相同，这一点很有趣！
4	风格吗……唔……
5	这么说的话，魔理沙小姐那个与其说是魔法店，感觉更像是垃圾……呃不、是万事屋呢。
6	万事屋？
7	不管大大小小的委托她都接受，像什么退治异变、找猫之类的……但好像因为性格太我行我素，所以并没什么委托找上门。
8	好可怜啊——！
9	不过，能开这种魔法店的魔法使，一定是个很有趣的人，我真想认识她呀。
10	虽然你们给人的感觉正好相反，但我想你们一定能成为好朋友的。
11	那真是太好了♡！
12	说起来，爱莲小姐的魔法店是怎么样的呢？
13	“蓬松松爱莲”魔法店是很可爱的店哟！主要出售我自己制作的魔法药剂和道具，另外也会接受和魔法相关的委托。
14	魔法药剂，就是传说中用各种稀奇古怪的东西做成的药吗？
15	没有这回事。都是很常见的那些材料哟。
16	那大概是谣传吧。您能做什么样的魔法药剂和魔法道具呀？
17	比如能治好腰痛的辟邪符，还有能够增加自信的魔法药之类的。
18	居然能制作操纵人心的药水，爱莲小姐好厉害呀！
19	谢谢！真开心你能这样说♡！
20	姑且问一下，这个药的成分是……
21	增加自信的魔法药吗？需要蚊子的眼球和蒲公英的根，还有就是青蛙的——
22	果然还是很稀奇古怪嘛！
23	咦？不都是随处可见的东西吗？
24	唔，好像也是哦……
25	总之，生意这么好就表示，爱莲小姐制作的药剂很有效吧？
26	是的！非常有效哦！你要试试吗？
27	我就不用了……
28	不过，爱莲小姐是比我想象的要厉害很多的魔法使呢。明明看起来比魔理沙小姐还要小的样子……
29	谢谢你的夸奖♡！不过我不是小孩子哦，我是不会成长的魔法使。
30	是哦！是有这种魔法使来着！
31	那您的实际年龄是……
32	我也不太记得了，不过几千岁应该是有的。
33	……
34	还、还真是意想不到……
35	活了很久的妖怪我也不是没有见过，但像爱莲小姐这样，心思纯真得像个小孩子一样的我还真是第一次见。
36	大概是因为我总是接二连三地忘事，好不容易积累下来的日子都被我白白浪费了呢。
37	对了——我还有个外号叫做“空白少女”哦——
38	嘿嘿。其实我以前也常被说脑袋空空，不过自从开店以后，我的记性就越来越好了。
39	尤其是和料理有关的事，我绝对不会忘记！上次你教我的猫咪可露丽，还有客人苏格拉底，我都好好地记下来了哦。
40	你看起来对这类甜点很感兴趣呢，想不想再试试做别的呢？
41	我想！！！
42	那我们再来开一次茶会吧♡～
43	好呀！魔界茶会和幻想乡宴会是两种完全不同的风格，我都很喜欢！我来和你一起筹备——
44	谢谢！那就麻烦你啦！
45	哇，你又准备了这么多！一定很辛苦吧？
46	嘿嘿，我想让爱莲小姐多尝尝我做的料理。
47	你对我真好♡！也请你尝尝我做的猫咪披萨吧～
48	那我就不客气了——
49	咦？虽然造型看起来很可爱，但是用料却是辛辣那一挂呢。
50	因为苏格拉底虽然很可爱，但是脾气不太好。当然这样的苏格拉底我也很喜欢啦！
51	（还好不是照着苏格拉底的样子捏的，不然真有点不好下口的感觉……）
52	还合你的口味吗？
53	嗯！野猪肉和西蓝花、蘑菇的品类囊括了肉、菜、菌，不仅营养均衡，在口感上也都是绝配。
54	但最关键的配料，还得是洋葱——
55	哇！不愧是名厨，一口就尝出了我的秘密武器。洋葱焦糖化的实际过程要远远长于烘烤披萨本身呢。
56	焦糖洋葱？……没想到洋葱也能获得这种醇厚的滋味，真是意想不到！
57	我就知道！这是我花了很长时间打磨出来的，用它作为披萨饼的顶料，绝对能带来最多重的舌尖享受♡～
58	真了不起！我又学到了一种新的料理方式！
59	米斯蒂娅真聪明！期待下次能品尝到你做的披萨哦！
60	我会努力做做看的！谢谢您～
