ID	Context
0	魅魔小姐——我在远处看到您今天表情很轻松，我就过来玩啦！
1	哦？我平时不这样吗？
2	平时您总是眉头紧锁在考虑一些很复杂的事情，我就没过来打扰，看到轻松的您很难得呢！
3	这样啊。
4	魅魔小姐这么喜欢研究，是您的兴趣吗？还是过去发生过什么呢？
5	哦？想窥探我的过去吗？
6	啊——不是的！我不是想窥探您的过去！
7	只是，我眼中的魅魔小姐，并不是大家口中那样的形象……所以就……就……
8	用您的话来说就是，求知！探索！想要了解真相！
9	呵呵……用这样的理由的话，我可就难以拒绝了啊。
10	好吧，就满足你的好奇心吧。
11	嗯嗯！我已经准备好耳朵好好听啦！
12	最初，我是一个小房间里的魔法产物。
13	将我制造出来的，是雾雨家当时的家主。
14	雾雨家？！难道是……
15	我刚开始有一点意识的时候，就充当着他谈话的对象。
16	听着他讲述自己的实验，对魔法和炼金术的理解。
17	以及他个人关于情感的，人生的那些无聊的事情。
18	每天都聊天吗？那感情真的挺好呢！
19	那算得是一段很美妙的日子。
20	房间里的每一本书我都读过。
21	家主的每一个实验，无论成功和失败，也都一一和我讨论，总结。
22	他会听我的想法，我的假设他也会逐一验证。
23	回想起来，虽然那只是一个又乱又狭小的房间，却是充满可能性的宝库。
24	在那个地方，有趣的、精彩的，甚至非伦理的实验，都在大胆地进行着。
25	我也是那个时候，了解了知识和探索的美妙。
26	如果一直像这样，作为追求知识的伙伴就好了——那个时候我曾这样想过。
27	……发生了什么不好的事情吗？
28	只是我的一厢情愿罢了。
29	家主他所想的，只是将我作为一个好用的工具，任他驱使而已。
30	在我拒绝他的命令开始，我自认为我们所建立的羁绊，就已经破碎了。
31	呵呵，在那之后，他就开始魔怔了。
32	啊……这……
33	满嘴说着“我的造物”、“我的造物”什么的，擅自将自己当作我的神，真是太好笑了。
34	我从诞生那一天开始，我就是我自己，我不会受任何意志摆布。
35	说到底，我的诞生是知识演化进程中偶然发生的产物。
36	如果我真的需要一位神的话，那也应该是知识本身。这位神可没教我去听从某个人的意志活着，很好笑吧？
37	不，我不觉得好笑，我觉得魅魔小姐所思考的事情，比一般人更透彻、更真实呢！
38	哦？你也不是个俗物呢。
39	我曾经真的以为，家主是我第一个朋友。
40	是可以平等对待、可以一起追求真理的好伙伴。
41	但人类果然，比我想象的还要无趣。
42	我设法离开了雾雨家，将曾经的期待和羁绊封存，本想从此就没什么关系了。
43	可没想到家主魔怔到，三番五次派出力量来想要彻底消灭我。
44	无论是雾雨家的魔法使，还是雇佣的妖怪猎人，能动用的所有力量他都用尽了。
45	他们称呼我为夺走家主神魄的“魅魔”，既然无法征服我为己所用，就想要我的命。
46	原来“魅魔”这个名字的来由是这样的！那您为什么要接受这个像是污蔑一样的名字呢？
47	这名字听起来不是挺棒吗？强大又充满神秘，这样方便的东西，当然是尽可能用起来。
48	是、是这样吗……
49	最后，雾雨家付出家道衰落的巨大代价也没能消灭我。
50	家主终于在临死前，做出了最愚蠢的决定——从此禁止家族成员进行任何的魔法研究。
51	真是彻底变成了一个无趣的人啊。
52	那个村子里最大的雾雨道具店，原来有这么一段故事啊……
53	但是，求知的火苗永远不会熄灭。永远都会有人，会被墙壁的缝隙所漏出来的些许光亮吸引。
54	人的好奇心是无穷无尽的，没有什么可以阻挡。
55	没错！看到一口冒热气的锅，就会去想锅盖的下面是怎样的美食呀——这样的好奇心，我也一直都有呢！
56	还是不论什么都会扯到料理上呢，那，为了满足你的好奇心……
57	嗯？难道又有新的食谱可以学了吗？
58	带两个鲜美的水产料理来，到时候我就教你。
59	这可是我的看家本领！包在我身上啦！
60	魅魔小姐！我带来了！
61	哦——色香味俱全，不愧是你，手艺果然值得期待。
62	那么，我通过考验了吗？
63	我有说考验吗？只是单纯的想吃吃看而已。
64	欸？——
65	只是提前向你收了报酬，这样咱们就两不相欠嘛。
66	好，那么就把这个食谱教给你吧。
67	哦哦！这次是虾料理，看着非常有趣！
68	期待你的手艺哦，之后有时间的话，我会来店里尝尝看的。
69	嗯！不会让您失望的！
