ID	Context
0	小麻雀，这边——
1	是魅魔小姐？怎么了吗？
2	就在刚才，噗噗呦果的解析已经完美完成了——
3	啊！那真是太好了！恭喜您！
4	多谢。我之前说过的吧，我会还你的人情——
5	诶？
6	完成噗噗呦果的解析后，我发现了一个有趣的现象。
7	它的魔力对不同的种族产生不同的效果，而其中对于“灵”体质的对象，产生的效果更强烈、也更复杂。
8	嗯……的确之前的实验者很快就恢复了，唯独更早吃下果子的幽幽子小姐她……
9	那个冥界的大小姐姑且这样严重——
10	那么，如果是怨灵接触到噗噗呦果，又会怎么样呢，不是很令人期待吗——
11	怨灵？我也不清楚——
12	诶！？？怨灵？您是说——！？？？
13	那个从地狱逃出来的罪犯，来过魔界不是吗？而且因为惧怕某事物逃走了。
14	这么说——难道她怕的是——
15	没错。怨灵只要接触到噗噗呦果的魔力，身体就会奇痒无比！
16	我推测，那个犯人刚来到魔界，就因为噗噗呦花的原因，仓惶逃走的。
17	毕竟来到一个仿佛脚下满是地刺的地方，也难怪她一刻也待不下去。
18	原来真相是这样的吗！？
19	噗噗呦果对于“灵”的效果要远远大于其他种族，所以怨灵接触到噗噗呦果，是绝·对·把持不住在身体上呈现反应的！
20	原来噗噗呦果根据用法，可以变成怨灵的天敌呢！
21	可惜为了解构到这一步，魔界已经没有噗噗呦果了，而且人工培育并不容易。
22	所以就算知道了犯人的弱点，也没办法利用了吗……
23	我是说人工培育并不容易，而不是说做不到。
24	您的意思是——
25	我已经在着手培育改良的噗噗呦果，只是时间问题！
26	并且干涉魔力的结构，只取一种能力，让它失去对怨灵以外存在的影响，只专攻怨灵！
27	这样即能达成目的，所需要的培育时间也可以降到预期的十分之一……
28	真的吗？！这研究好棒！真的可以做到这样像魔法一样的事情吗？
29	呵呵，科学就是像魔法一样神奇的东西。
30	只要满足条件，它就会诚实的给你结果。
31	只要再一点点时间就好……我会赶在你们行动之前让它结果的。
32	谢、谢谢您！魅魔小姐！！
33	您救了幻想乡！我、我真的不知道该说什么才好——
34	别这样抬高我了，我说过，幻想乡会怎样我没有兴趣，我只是还一个可爱的小麻雀人情而已。
35	不管怎么说，谢谢您的帮助！
36	这是一件大事！我得马上向紫小姐和灵梦小姐报告！
