ID	Context
0	原来如此，怨灵畏惧之物就是噗噗呦果，也就是幽幽子曾经误食的欲望之果……
1	呵呵。成也败也，幻想乡的兴亡竟然都系于它身上呢。
2	你在月都那边的训练怎么样了？
3	也已经完成了！现在的我已经可以熟练掌握“微动”的能力了！
4	不错！本来只是作为一个选项，没想到你当真不负所托。
5	灵梦所或缺的，正是你这股执着的劲头呢～
6	说教的话下次吧。
7	呵呵。那么小麻雀，你准备好了吗？
8	嗯……我已经在月都进行过充分的训练。
9	也在魔界找到了敌人的弱点，但……关键的噗噗呦果还……
10	这有什么好担心的。她不是说过吗？在最后一刻，她一定会补上最后的碎片。
11	呵呵～
12	魅魔小姐！
13	总算赶上了，终于在最后一刻培育成功了。
14	接着！这就是让怨灵惧怕的果实——
15	我用尽了方法也只培育出5颗，这是在当下的时间里能做到的极限了。
16	不！谢谢您！这也就是说，我们有5次克制敌人的机会……帮大忙了！
17	不愧是你，在这样极限的时间里，从成千上万种可能性中寻到了唯一解呢。
18	炼金术，本就是不断试错和排除，最后找到唯一答案的过程。
19	呵呵……难怪灵梦从一开始就相信着你，果然没错哦。
20	用不着这么肉麻，我只是忠于自己的兴趣而已。
21	呵呵，是吗——
22	那么，现在所有的碎片都已经补全了，抓捕行动正式开始。
23	无须担心，你已经做了足够的准备。
24	即使强大如巫女，也不会赢过精密的布局和脚踏实地的努力。
25	我已经看到你的胜利了，宫出口瑞灵的结局也已经注定。
26	所以，放手去做吧！
27	……是！我感受到您的鼓舞，现在不会怕了！
28	那么，抓着我的手，我们去最后的战场吧。
29	好的——！
30	是吗……既然如此，那就等你准备好了再来找我吧。
