ID	Context
0	魅魔小姐！这次有很重大的发现！请听我说——！
1	哦？那真不错，快告诉我听。
2	您知道吗！？这个、这个噗噗呦果是被诅咒的存在！它还有另一个名字，叫做欲望之果！
3	诅咒？到底是怎么回事？
4	幻想乡有位身为冥界之主的很厉害的亡灵，曾经误食了这个果子——
5	结果就被诅咒了！她的欲望——也就是食欲，被无限放大，怎么填也填不尽，差点就给幻想乡带来了灾难！
6	哦……你们将这种干涉灵魂的效果称作“诅咒”吗？
7	……也就是说，亡灵这个种族被影响的是“欲望”吗？这似乎和我自己感受到的有所出入……
8	魅魔小姐！这样危险的东西，您还想继续研究吗？
9	当然。幻想乡会怎么样我无所谓，我只关心我的研究。
10	而且那边不是有灵梦在吗？净化诅咒这种事情可是她的专业。难道她又偷懒了？
11	这个事情最复杂的就是，据说这位亡灵的存在本身就是一种诅咒！
12	如果用净化的手段，会连她的存在一起抹去！……哎呀！具体我也不太清楚，但是幻想乡真的差点就覆灭了！
13	如果是为了幻想乡的存亡，直接杀掉她不就完事了吗？
14	灵梦那家伙的责任就在于此，而且有足够的力量，和理由。
15	为什么一定要如此曲折地把她救下来，我不明白。
16	因为……因为……
17	也罢，总之，幻想乡覆灭与否我并不关心，不需要再继续这个话题了。
18	魅魔小姐……
19	您的体质也是“灵”，不是吗……
20	……
21	你是在担心我的安危吗？我心领了，谢谢。
22	但是距离真相之门只有一步之遥，我是不可能放弃的。
23	有劳你带回的情报，我想接下来应该不会再有事麻烦你了。
24	辛苦了，再见——
25	……
26	魅魔小姐对研究的态度，我了解了……
27	没有什么办法可以阻止她。
28	……
29	但是，噗噗呦果，竟然真的就是欲望之果……
30	这件事怎么想都让人不安！去问问灵梦小姐的意见吧！
31	对了——我记得爱丽丝小姐似乎对欲望之果很了解？
32	去问问这些专业人士的意见吧！
33	这件事怎么想都让人不安！去问问灵梦小姐的意见吧！
