ID	Context
0	魅魔小姐，研究噗噗呦果的事还顺利吗？
1	不是让你别再牵扯进这件事了吗？
2	我、我不是想阻扰您做研究……
3	我这次来是想把我知道的其他信息告诉您！
4	关于培育噗噗呦果这件事，幻想乡里曾经有一位魔法使培育成功过……
5	什么！？幻想乡竟然有如此出色的魔法使存在？攻克了我一直没攻克的课题？！
6	这个人是谁？快告诉我他的名字。
7	呃……就是魔理沙小姐。
8	……
9	………………
10	呵呵……
11	这样啊，虽然出乎意料，但也是情理之中。怎么说呢，不愧是她啊。
12	不过，魔理沙小姐似乎也是误打误撞成功的。
13	哦？具体说说？
14	魔理沙小姐居住的魔法森林也是一个充满了魔法和瘴气的地方，那里也本来也长了一些类似噗噗呦花的植物。
15	前阵子幻想乡从地底冒出来了莫名其妙的黑水，然后和魔理沙小姐随手倒到树下的实验废料产生了奇怪的反应，就让这种花结了果。
16	整个过程原本只是一场意外……
17	那孩子的实验习惯还是一团糟。她从小就不喜欢收拾东西，我明明百般嘱咐过她至少实验的操作必须标准和严谨……
18	不过，也托你们的福，我有了培育噗噗呦果的想法和方向了。
19	哇，只凭这些信息就可以了吗？
20	……
21	你对魔法一窍不通，为什么要这样为我忙前忙后？
22	魅魔小姐您的眼中只有研究，就算明知有危险的情况，也绝不会退缩吧？
23	……是这样没错。
24	魅魔小姐并不在意自己的安危，可总会有人在意的。
25	哦？我自己都不在乎的事，他人在乎又有什么意义呢？
26	魔理沙小姐一定很在意您的安危，在意您现在过的好不好……
27	现在，我也是，我也担心……
28	要是我能多多少少帮魅魔小姐少走一些弯路，或者减少危险发生的可能性的话……
29	那不管什么我都会去试试的！
30	要是因此丢掉性命呢？
31	欸？那个……我……这个……
32	呵呵，我逗你呢。我怎么舍得那样。
33	如果说魔理沙是人类中的奇葩，那你就是妖怪中的怪胎呢。
34	诶！？怪、怪胎！？
35	我是在夸你很可爱哦。
36	……是这样吗？
37	总之，多谢你一直以来提供的情报，它们对我来说很有用。
38	我继续进行下一步研究了。这应该是最后一步了——
39	以后有机会，我会还你这份人情。
40	……
41	魔理沙小姐在很多方面都很像魅魔小姐，但却很少考虑“还”这件事呢……
