ID	Context
0	咿呀，你就是夜雀食堂的老板娘吗？久仰大名了呢～
1	您是……
2	我是看守通往魔界的唯一大门的人，你可以叫我萨拉。
3	萨拉小姐您好！不过您说您是魔界的看守……可是我来魔界这么多次，都没有见过您呀？
4	这样啊。因为我偶尔不在岗位上……
5	只是偶尔吗……
6	就……这也是没办法的事……
7	自从很久以前，地上那个巫女来过之后，魔界人就掌握了随意打开通往人间界洞穴的技术。
8	变成了无论何时何地何人，都可以随便离开魔界的情况……那我这个门卫也没什么用处了……
9	没办法阻止魔界人离开吗……不过，您还可以阻止外来人闯入魔界嘛！
10	你也太瞧得起我了。能到魔界来的可不是一般人，我根本没有能力阻止。
11	也不一定吧？我就很弱呀，可我不也到魔界来了。
12	你是凭自己的能力来到魔界的吗？
13	唔……不是……
14	我也不是没有阻止过。就说那边的那个科学怪灵，我曾经也坚决地挡在她面前，然后……
15	然后……
16	然后被狠狠地修理了一顿……
17	啊……嗯……这样呀……
18	拦不住呀，一个也拦不住。门卫的工作已经形同虚设，所以我就想着去找一份新工作……
19	难怪您经常不在岗。那您找到新工作了吗？
20	没有……
21	唔……那您要不要到我的店里来试试呢？
22	诶！？你愿意雇我吗？
23	夜雀食堂的分店数量也越来越多了，如果有更多的伙伴帮忙，我也能轻松一点。
24	我愿意！谢谢你给我工作机会！
25	不客气，互相帮忙而已。以后就拜托您啦！
26	我一定会努力工作的！请多多指教！
