ID	NAME	DECRIPTION
2500	原始与野性徽章 ~ 银	「妖怪兽道」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2501	原始与野性徽章 ~ 金	「妖怪兽道」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2502	雨顺与风调徽章 ~ 银	「人间之里」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2503	雨顺与风调徽章 ~ 金	「人间之里」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2504	孤独与节制徽章 ~ 银	「博丽神社」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2505	孤独与节制徽章 ~ 金	「博丽神社」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2506	魔法与诅咒徽章 ~ 银	「红魔馆」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2507	魔法与诅咒徽章 ~ 金	「红魔馆」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2508	终古与刹那徽章 ~ 银	「迷途竹林」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2509	终古与刹那徽章 ~ 金	「迷途竹林」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2510	樱开与樱落徽章 ~ 银	「白玉楼」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2511	樱开与樱落徽章 ~ 金	「白玉楼」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2512	开端与结局徽章 ~ 银	「鸟兽伎乐」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2513	开端与结局徽章 ~ 金	「鸟兽伎乐」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2514	幽深与回响徽章 ~ 银	「魔法森林」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2515	幽深与回响徽章 ~ 金	「魔法森林」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2516	丰收与寂寥徽章 ~ 银	「妖怪之山」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2517	丰收与寂寥徽章 ~ 金	「妖怪之山」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2518	吞噬与破灭徽章 ~ 银	「血池地狱」章节曲目在「普通」难度下达成A及以上评价后获得的奖励
2519	吞噬与破灭徽章 ~ 金	「血池地狱」章节曲目在「困难」难度下达成A及以上评价后获得的奖励
2520	灼热与躁动徽章 ~ 银	「旧地狱」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2521	灼热与躁动徽章 ~ 金	「旧地狱」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2522	寂寥与偏爱徽章 ~ 银	「地灵殿」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2523	寂寥与偏爱徽章 ~ 金	「地灵殿」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2524	怪诞与常理徽章 ~ 银	「怪诞料理大赛」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2525	怪诞与常理徽章 ~ 金	「怪诞料理大赛」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2526	爱乐徽章	完成「爱乐者的挑战赛」剧情后获得的奖励
2527	博丽神社大祭徽章 ~ 银	「博丽大祭」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2528	博丽神社大祭徽章 ~ 金	「博丽大祭」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2529	静寂与晨暮徽章 ~ 银	「命莲寺」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2530	静寂与晨暮徽章 ~ 金	「命莲寺」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2531	阴阳与协调徽章 ~ 银	「神灵庙大赛」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2532	阴阳与协调徽章 ~ 金	「神灵庙大赛」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2533	风灵与芳华徽章 ~ 银	「太阳花田」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2534	风灵与芳华徽章 ~ 金	「太阳花田」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2535	朽梦与孑遗徽章 ~ 银	「辉针城」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2536	朽梦与孑遗徽章 ~ 金	「辉针城」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2537	幽闭与禁忌徽章 ~ 银	「红魔馆的抓鬼游戏」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2538	幽闭与禁忌徽章 ~ 金	「红魔馆的抓鬼游戏」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2539	奋进与守旧徽章 ~ 银	「月之都」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2540	奋进与守旧徽章 ~ 金	「月之都」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2541	梦幻与茶会徽章 ~ 银	「魔界」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2542	梦幻与茶会徽章 ~ 金	「魔界」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
2543	困兽与搏斗徽章 ~ 银	「天罗地网」章节所有曲目在「普通」难度下达成A及以上评价后获得的奖励
2544	困兽与搏斗徽章 ~ 金	「天罗地网」章节所有曲目在「困难」难度下达成A及以上评价后获得的奖励
