ID	Content
0	这是什么？
1	大型不可燃垃圾要好好的处理呀！这会给邻居添麻烦的耶！
2	太没有公德心了——即使是妖怪，也不是每个都是大力士。完全搬不动啊！
3	亏我特地用神通力给你包邮上门——
4	诶！？是谁——？
5	呵呵，虽然此时的确应该报上名号，但不知全貌恰恰就是我的特征。
6	此次，我就宽容不与你这个无礼小妖计较了。你只需知晓我是究极的绝对秘神即可。
7	米神？……什么不跟我计较啊……明明是你的错……
8	果真是个鸟脑袋。不记得了么？这是你向我申请的东西。
9	我申请的！？什么时候啊？
10	前几天。和伙伴们玩闹的时候。
11	唔——想不起来啊——
12	……幻想乡全民音乐盛会。
13	啊！是那个吗？！就是响子说的那个只要提交申请，就可以免费得到河童工业集团制作的音乐游戏机的活动吗！？
14	真是难为你想起来了。
15	居然这么快就到了。我还以为至少要等个一千年才会送过来。
16	一千年？
17	不是经常有吗？只要缴纳一点点手续费就可以免费获得一些非常诱人的好东西。只需要等上一千年……
18	一千年后还能记得吗？
19	当然！我对自己的耐心很有自信。而且我一直数着呢，我参与最久的活动已经有两百年了哦！
20	哦？那受累问一句，是什么活动？
21	就是……是……
22	反、反正再过八百年就可以收货，到时候就知道了！
23	…………………………………………
24	自有记忆起，这还是第一次吧？被一只妖怪蠢到的经验。
25	总之，这台“幻想节拍”不是那种唬人的东西。
26	从那个新来的山神处得到的启发……不，现在该称她为技术革新之神了……神拥有以神话改头换面的能力，我也打算利用这一点。
27	能乐之神的身份已然不适合这个时代了，所以我正在制造一个契机、转型为爱乐之神——
28	到底是想说什么啊？
29	呵呵。果然无法理解吗——
30	虽然你是“她”选中的人，但此次交涉我明白了一件事，就是不要和鸟脑袋解释的太详细——
31	呜呜呜，被看扁了——
32	并没有看扁你喔，只是提升沟通的效率，有时要选择内容。
33	总而言之，想要在幻想乡掀起全民音乐的热潮，这台机器必不可少。好好利用吧，它会给你带来奇妙的乐趣——
34	那么，等你完成所有的挑战，我还会再次降临哦。
35	诶？诶——
36	这就走了吗？说了一堆听不懂的话……
37	最应该说清楚的难道不是这东西的使用方法吗？！
