id	name	Description
-1	黑暗物质	烹饪失误、散发着黑色气场的不明物质，不会有人想吃这种东西……吧？
0	海鲜味噌汤	居酒屋常见的快手汤羹，来历不明却随处可见的海带在幻想乡出现之初，有人好奇水煮了一下，结果意外地发现有种异样的鲜味，从此便在幻想乡流行开了。
1	豆腐味噌	居酒屋常见的快手汤羹，使用了豆腐来提鲜，最简单又最原始的美味。
2	力量汤	荤素搭配的美味汤羹，使用了野猪肉和海带煲煮而成，能最快捷地补充身体所需能量。
3	猪肉鳟鱼熏	把猪肉鳟鱼放在一起熏制而成，是简单好吃的肉食料理，也比较能保存。
4	烤八目鳗	本店招牌。为了打破红灯笼店就是烤鸟肉店的成见，特意选择了对夜盲症有奇效的八目鳗，据说在过去还被视作珍宝。
5	能量串	牛肉搭配洋葱、南瓜烤成的串串。巧妙地利用了洋葱的刺激与南瓜的甜味去除肉质的油腻，食之更加清爽。
6	二天一流	传说中与鬼立下赌约并获胜的人类剑士所创下的烤串流派，特别使用了野性十足的肉类烧制而成，食之有种冲天的气魄，让人惊叹不已。
7	饭团	最普通的饭团，加点海带随便捏捏就可以了，超便捷的经典。
8	炙猪肉饭团	常见的平价饭团，在饭团中放入烤制后的猪肉，为其增加了一份香浓的嚼劲。
9	温暖饭团	常见的平价饭团，内馅加入了鳟鱼和洋葱，融合了海鲜的细腻口感与洋葱的炽热，无论是营养还是口感都属上佳。
10	樱落雪	高级寿司的一种，粉红色的高级生鱼片盖在白米饭上，就如樱花飘落在白雪上，有着不可思议的美感。
11	炒肉丝	以猪肉作为主要食材制作而成的家常菜，口味偏重。
12	冷豆腐	夏天的消暑下酒菜，简单爽口。
13	红烧鳗鱼	本店招牌。将鳗鱼用特殊酱料进行烧制后肉汁四溢，光闻着香味便让人垂涎不已。
14	土豆可乐饼	主要由土豆制成，外表酥脆内在绵软可口，在油炸类食品中有着较高的人气。
15	野味加农	用农家蔬菜佐以优质黑毛猪肉炖煮的烩锅，口感饱满，香浓却不油腻，是农家人最高级的大菜。
16	猪肉盖浇饭	常见的家常菜，看上去颗颗饭粒饱满，淋上的香酱与猪肉的口感融为一体，令人胃口倍增。
17	牛肉盖浇饭	常见的家常菜，看上去颗颗饭粒饱满，淋上的香酱与牛肉的口感融为一体，令人胃口倍增。
18	炸八目鳗	本店招牌。长相怪异的八目鳗在喜欢尝鲜的幻想乡曾一度成为话题，油炸后爽滑酥嫩，深受大众喜爱。
19	蔬菜专辑	用新鲜的蔬菜生拌而成的沙拉，口感清新，可以去除嘴里的油腻。不知为何被年轻的姑娘们奉为减肥圣餐。
20	白雪	使用鲜美的八目鳗与河豚，再佐以海带炖煮而成的高级烩锅，由于煮的过程中会飘出纯白的泡沫而得名，是非常高级的家庭料理。
21	豆腐锅	由豆腐炖煮而成的烩锅，滑嫩的口感再加上其本身具有的较高营养价值，使这道平价料理成为居酒屋最常见的烩锅。
