ID	NAME	DECRIPTION
0	万份特典感谢信	由于您的大力支持！\n「东方夜雀食堂」在抢鲜体验发售五天售出一万份，在此献上微不足道的感谢…！我们会把游戏做的更好！
1	签名色纸	写着“阿加莎克里斯Q”的签名色纸，似乎是以侦探小说出名的作家，有着诸多粉丝。也许能交给更需要它的粉丝换点别的东西？
2	香霖堂打折券	能在香霖堂购物时得到一些优惠的道具。\n很可惜，有效期只有一天。
3	奇怪的石头	兽道散落的奇形怪状的石头，还有点重。香霖堂的主人似乎对其很有兴趣。
4	古朴的铜钱	人间之里散落的有些年代感的铜钱，似乎已经不再流通。香霖堂的主人似乎对其很有兴趣。
5	破损的符咒	博丽神社散落的破损的符咒，拼拼凑凑似乎也能得到点信息。香霖堂的主人似乎对其很有兴趣。
6	红色的宝石	红魔馆散落的红色的宝石，在幻想乡宝石和石头也没什么区别。香霖堂的主人似乎对其很有兴趣。
7	发光的竹子	迷途竹林偶尔看到的发光的竹子，不知道里面有什么呢。香霖堂的主人似乎对其很有兴趣。
8	灵梦给的护符	用来彰显巫女威严的护符，贴上之后即使人类和妖怪共处一室应该也不会出什么岔子。
9	白玉楼的地图	看似普通的地图，实际上能带你来到本不该去的幽冥之地。
10	幽紫色的灯笼	冥途的引魂之灯，如果挂上的话，就是做好了与那位做决战的准备了。
11	唱片「妖怪兽道」 ~ 其一	收录了兽道的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
12	唱片「人间之里」 ~ 其一	收录了人间之里的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
13	唱片「博丽神社」 ~ 其一	收录了博丽神社的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
14	唱片「红魔馆」 ~ 其一	收录了红魔馆的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
15	唱片「迷途竹林」 ~ 其一	收录了迷途竹林的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
16	唱片「白玉楼」 ~ 其一	收录了白玉楼·最终决战的营业之歌的唱片，一共三首，此为第一首。可以随时放在留声机里播放。
17	风车	任务物品。人类商贩卖的风车，妖兽的小孩子似乎很在意。
18	红色灯笼	任务物品。红色的灯笼，挂在兽道很气派。
19	可疑的瓶子	任务物品。不太确定里面装着什么，但似乎有酒香味。
20	灵梦的回复	任务物品。内容是“太贵了”。
21	萃香的回复	任务物品。内容是“没啥兴趣”。
22	天子的回复	任务物品。内容是几百字的长篇美食评论和询问购买方式。
23	黑色套装	有着宵暗妖怪风格的服饰套装。但其实只是把原来的衣服染黑了而已，眼罩倒是很有趣。可以在家里的换衣间进行更换。
24	中华风校服	上白泽慧音利用学童们用剩下的布料缝制而成的衣裳。似乎是中国某个时代，女孩子开始读书时候穿的衣服。可以在家里的换衣间进行更换。
25	褪色的巫女服	博丽灵梦收拾仓库时找到的有点褪色的旧巫女服。穿上后感觉自己多少能体会到巫女的身份之重，但绝不可以自称巫女。可以在家里的换衣间进行更换。
26	睡衣	帕秋莉·诺蕾姬送的舒服又保暖的家居服，穿上就不想脱下来了。可以在家里的换衣间进行更换。
27	访问着和服	蓬莱山辉夜送的制式严谨的访问着，穿起来有点费劲。可以在家里的换衣间进行更换。
28	银杏之叶	不知道什么时候掉落在身上的银杏叶。有着奇妙而让人安心的光芒，似乎有点熟悉，但是想不起来。
29	银色的青蛙硬币	从守矢小神社中摇出的银色青蛙硬币。也许集齐一定数量会有什么好事发生？
30	金色的青蛙硬币	从守矢小神社中摇出的金色青蛙硬币。
31	水手服	从位于博丽神社的守矢分社中离奇获得的服饰，似乎在外界很流行。可以在家里的换衣间进行更换。
32	招财猫	橙赠送的摆件，也许有着招揽财富和客人程度的能力(?)。\n使店内的小费率额外增加15%。
33	富贵牡丹	茨华仙赠送的盆栽，寓意着圆满富贵，花很好看。\n客人对料理的评价若至少为普通，则心情额外增加15。
34	强运桃子	并不是真正的桃子，似乎是比那名居天子亲手做的。虽然不能吃，但据说能带来好运。\n客人对料理的评价若至少为普通，则有15%的概率提高评价至完美。
35	乐团服	歌手登台时穿的衣服。可以在家里的换衣间进行更换。
36	唱片「妖怪兽道」 ~ 其二	收录了兽道的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
37	唱片「妖怪兽道」 ~ 其三	收录了兽道的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
38	唱片「人间之里」 ~ 其二	收录了人间之里的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
39	唱片「人间之里」 ~ 其三	收录了人间之里的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
40	唱片「博丽神社」 ~ 其二	收录了博丽神社的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
41	唱片「博丽神社」 ~ 其三	收录了博丽神社的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
42	唱片「红魔馆」 ~ 其二	收录了红魔馆的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
43	唱片「红魔馆」 ~ 其三	收录了红魔馆的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
44	唱片「迷途竹林」 ~ 其二	收录了迷途竹林的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
45	唱片「迷途竹林」 ~ 其三	收录了迷途竹林的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
46	唱片「白玉楼」 ~ 其二	收录了白玉楼·最终决战的营业之歌的唱片，一共三首，此为第二首。可以随时放在留声机里播放。
47	唱片「白玉楼」 ~ 其三	收录了白玉楼·最终决战的营业之歌的唱片，一共三首，此为第三首。可以随时放在留声机里播放。
48	红美铃的签名照	红美铃的信物，上面有本人的签名，从笔迹可以想象到她一笔一划地写字时的样子。
49	土龙罐	相传是龙神升天前在地上存酒用的酒坛子。至于是不是真的……算了，买都买了。
50	胖滚君	代替红美铃守护夜雀食堂的熊猫，全身黑白分明，据说是个集万千宠爱于一身的国宝……这样的话，是我守护它才对吧？！。\n店内所有的客人每15秒会进行1~20的打赏。
51	幸运的素兔？	怎么看都像是随手抓来的兔子，但因为是帝抓来的，竟然有着奇妙的幸运…\n制作料理时有15%的概率不会减少食材。
52	幸运四叶草	因幡帝给予你的“幸运的四叶草”，似乎在第二天就会消失的样子。\n既然是“幸运的白兔”给你的，也许带着它采集物品时会有什么好事发生吧？
53	猫豆腐老师的异世界宣传漫画	似乎是异世界的「我」的故事，虽然发生着和这边差不多的事情，但也有些非常刺激的情况呢！海报上的内容是…请购买「深夜雀食堂」漫画了解详情，去地下室的话，可以反复的看这张广告…广告谁要反复看啊喂！
54	万圣节特典晚装	在2021年万圣节期间登录游戏获得的限定晚装，结合万圣节的气氛做了特别的设计，可爱又精怪，更换该服装时，店铺的夜间装潢也会变成万圣节风格。
55	水手服·冬	冬天穿的水手服。可以在家里的换衣间进行更换。
56	偶像服	为了演唱会特意赶制的“鸟兽伎乐”乐队演出服。可以在家里的换衣间进行更换。
57	锦绣中华娃娃	在2022年春节活动期间登陆游戏获得的限定礼服，红黄配色象征着喜气与财富，在春回大地、万象更新的这一天尽情收获祝福吧。更换该服装时，店铺的夜间装潢也会变成春节风格。
58	执事服	《东方夜雀食堂》在2021年获得国产游戏销量榜第17名，为感谢各位玩家的支持，特意制作了帅气的执事服以表谢意！未来还请多多指教！
59	圣诞节特典晚装	在2021年圣诞节活动期间登陆游戏获得的限定礼服，毛茸茸的非常暖和，在注重保暖的同时也没有舍弃可爱。在冬日里看到这样一抹亮色，会让人心情变得很好吧？更换该服装时，店铺的夜间装潢也会变成圣诞节风格。
60	蛋糕裙	在2023年米斯蒂娅角色日活动期间登陆游戏获得的限定礼服。蓬松可爱的蛋糕裙既纯真又梦幻，寄寓着希冀之情，为庆贺米斯蒂娅角色日及《东方夜雀食堂》Nintendo Switch企划启动，而特意制作的纪念物。  
-1	夜雀服	米斯蒂娅平常穿的衣服。可以在家里的换衣间进行更换。
-2	雀酒屋工作装	米斯蒂娅工作时穿的衣服。一般情况下会在工作时换上。可以在家里的换衣间进行更换。
