ID	Content
0	稗田小姐，您好呀！
1	您好，萝蕾拉小姐。
2	那个，您也别总叫我萝蕾拉小姐啦……
3	是吗？我还以为您挺喜欢这个称呼的呢。
4	一开始确实是有种飘飘然的感觉，但果然还是不太习惯……
5	既然如此，那我就不客气，直接称呼您的名字了？
6	唔，还有敬称其实也不需要啦……
7	那么，作为交换，您也别总叫我稗田小姐了。说实话，顶着稗田这个头衔，对我来说并不是那么轻松。
8	……我明白了！阿求小姐！
9	谢谢你。米斯蒂娅。
10	这样一来，感觉我们就像是朋友一样！
11	原来一直以来，我在你的心里并不是朋友吗？
12	我、我不是这个意思！只是……只是因为，您毕竟是那么……那么珍贵的大小姐……
13	珍贵呢。在你眼里，我也是如瓷娃娃一样的人类吗？
14	啊、那个……对不起……
15	……也是。稗田、博丽之名讳，在幻想乡有着特殊的意义。而我并不像灵梦一样强大，甚至比一般的人类都要脆弱……
16	阿求小姐……
17	看来，您的日子过得确实不太轻松。我曾经还天真地向往过您的生活……
18	其他且不说，妖怪竟然也会向往人类的生活吗？
19	当然会！只要是活着的生物就会向往别人的生活吧？
20	唔——嗯。也有道理呢。
21	只不过，我原本只想到您能住在那么大的宅子、被那么多人照顾，却忘了……
22	忘了什么？
23	……听闻您为了编撰《幻想乡缘起》，不惜牺牲自己的寿命，生而复死、死而复生。怀着如此决绝的意志，生活怎么可能会轻松呢。
24	……并不完全是这样。
25	编撰《幻想乡缘起》，即是我的负担，也是我的愿望。
26	即便为其而生、为其而死，对我来说也并不是多么沉重的事情。只是……有些遗憾……
27	遗憾？
28	我的寿命实在太短，死后还要在地狱工作百余年以换取转生用的躯体，所以，我能留在幻想乡的时间实在不多。
29	而在这短暂的人生中，我积攒下的所有人际关系，百年以后几乎都不复存在。
30	唯独这一点……让我有些遗憾。
31	阿求小姐……
32	您放心！就算您百年后回来，至少我还在！我会一直记着您的！
33	……
34	是啊。如今的幻想乡和百年前不同。人与妖怪的关系有了天翻地覆的变化，即便百年后没有人类能记得我，说不定还是能遇到一些相熟的妖怪呢。
35	一定会的！
36	谢谢你，米斯蒂娅。
37	哪里……都怪我，勾起了让阿求小姐不愉快的回忆。
38	我能为您做些什么吗？我想为您做些什么！
39	我其实已经打起精神了……算了。我正好有个小小的愿望，如果是您的话，说不定能为我实现。就让我任性一下吧。
40	那样才好呢。您尽管说吧！
41	您听说过一道名为“樱落雪”的料理吗？
42	没有……这是什么？
43	这是我前几日在一本书上看到的。据说有一种品质极好的金枪鱼，它的颜色如初绽的樱花一样鲜嫩美丽。
44	人们常常将它做成寿司，宛若樱花飘落在雪上。故而得名樱落雪。
45	听起来真美啊。像樱花一样的金枪鱼？味道一定更美！
46	可是，如今的幻想乡再想找到这样的金枪鱼，似乎并不容易。
47	是吗……看来这道料理的难点在于寻找食材呢。
48	没错，做法倒是很简单。想必以您的厨艺，也已经理解了。只是要怎么才能找到这样的金枪鱼……
49	我会多去探索的。等将来我找到了这样的金枪鱼，我就将它制作成“樱落雪”，请您届时一定要来品尝哦！
50	当然。那我就翘首以待了。
