ID	Content
0	你怎么啦？心情很低落的样子……
1	没、没有啊！
2	别逞强了，烦恼都写在脸上啦——你这抓痕越来越多，真的没问题吗？
3	……我想不明白，为什么它们就不肯跟我好呢？
4	那就随它们去嘛，为什么非要去驯服野猫呢？
5	因为我想从它们之中挑选一个愿意服从我的部下……
6	以猫的个性来说，感觉不太像是会服从同类的样子呢。
7	……要是连只猫都驯服不了，以后要怎么才能收服式神呢？
8	哈？你自己不就是式神吗？
9	式神怎么了！？我的主人也是式神哦！只要足够强大，式神也一样可以拥有式神！
10	哇，所以你是式神的式神？那你的式神不就是式神的式神的式神？而你的式神如果收服式神的话就是式神的式神的——
11	别叽里呱啦的啦！
12	抱歉，一不小心就绕进去了。
13	总而言之，你其实就是在向往你的主人吧。
14	……我的主人是很厉害的式神，所以她被主人赐予姓氏，与主人同住在结界里。
15	而我，只有橙之名，孤零零地住在山上。
16	……
17	我一定还差得远。所以她们才没有把我接走。
18	你在说什么啊！你怎么会孤零零呢？
19	事实就是啊！主人拥有很多式神，我只是可有可无的其中之一。而对那些野猫来说，不管是谁，只要给它们食物就会扑上来，没有食物压根都不理你——
20	橙！！！
21	好痛！干、干嘛啊！想打架吗！？
22	就你这种笨蛋，少摆出这种气馁的样子啦！一点都不像你！
23	什么——你果然是想打架是吗！？我、我才不怕你！
24	没错！就是这样！
25	……你到底在发什么疯啊！？
26	你可是创建了猫咪部落的妖怪猫，看看你脸上的抓痕——热闹都写在脸上啦！真好意思说自己孤零零的！
27	这算什么热闹啊——
28	为什么不算？不就几道抓痕嘛，猫咪打架不是很正常吗？难道它们之间不打架？
29	怎么可能！部落里永远都会看到有猫在打架——
30	可尽管如此，那儿依然是猫咪部落，不是吗？谁也没有因为打架就离开吧？区区抓痕——
31	就、就算是这样……那我的主人也……
32	说不定，你的主人正是因为觉得那儿适合你居住，所以才没有把你接走呢。
33	诶？
34	难道说，你觉得比起毫无秩序的猫咪部落，你更适合住在肃静的结界里吗？
35	你的意思是——
36	这说不定，正是你的主人对你的爱哦。
37	……呜呜……你、你装什么大人啊……
38	总比哭鼻子的你强啦。至少我绝对不会放弃我的梦想哦！
39	哼。不就是个演唱会嘛，看我怎么在你之前收服到式神吧！
40	好哇，这张VIP门票给你！我们到时候走着瞧！可别不敢来哦！
41	谁怕谁啊！走着瞧就走着瞧！唔……我看看……
42	你在找什么啊？
43	蓝大人说拿人手短，我才不白白拿你的东西，我找找有什么可以给你的！
44	不用啦……
45	唔……我、我也没什么可以送你的，这个是我最近自己做着玩的……就把这个给你吧！
46	招财猫？好可爱！摆在店里一定很合适！那我就不客气啦~
47	哼，让它给你多招点生意，早点把演唱会开起来吧！
