ID	Content
0	琪露诺，你好呀——
1	好什么啊，没看到咱已经快化了吗？
2	对诶！你、你怎么快融化了！？
3	好热好热好热！咱已经快不行啦。
4	那、那怎么办！？
5	你不是冰之妖精嘛，就不能弄点冰出来凉爽一下吗？
6	可是这么热，冰块放不了一会儿就融化了！
7	咱已经没有力气——
8	要用那么多冰块才能给环境降温的话，你还不如直接把冰块吃掉算了。
9	冰之妖精总不会因为吃冰块而拉肚子吧？
10	咱已经吃了好多冰块啦！！虽然不会拉肚子……
11	但是咱已经不想再吃这种没味道的东西了！咱想吃肉！肉！！肉！！！
12	……
13	就没有冰凉又好吃的肉了吗！？
14	冰凉又好吃的肉啊……
15	你不是厨娘吗？你肯定有办法的吧！
16	唔，如果用冰镇的方式做肉的冷盘的话……
17	哇！虽然不太明白，但是听着就很好吃嘛！
18	也是呢，最近正打算增加新品，如果能给大家解暑的话，也算是一举两得了！
19	就是啊就是啊！快给我冰冰凉凉又好吃的肉吧！
20	哎！也不是所有的肉都适合做冷盘的啦！
21	我可是冰之妖精！适不适合做冷盘，让我尝尝就知道了！
22	真的吗……
23	快去吧！再晚一点咱都要重生了！
24	对哦，妖精是大自然的化身，并不会真的死去呢。
25	你还在感叹啥呀？你要眼睁睁看着咱化掉吗？
26	知道啦知道啦，我马上就去——
27	唔，姑且先给你带些猪肉料理尝尝吧。
28	再不快点，咱就要化掉啦——
29	这不就是普通的猪肉嘛。
30	是啊，你看这种适合做冷盘吗？
31	唔……
32	你到底懂不懂啊？之前是谁说自己是冰之妖精，要帮我鉴肉来着……
33	咱、咱当然懂啊！咱可是最强的冰之妖精！
34	那你倒是说说看呀。
35	这个猪肉嘛……也不是不行，就是太普通了一些！
36	普通？
37	这样的话……啊，这个或许不错！
38	猪肉
39	刚刚不就说了猪肉吗，真是鸟脑袋啊——
40	黑毛猪肉
41	什么野猪肉山猪肉黑猪肉啥的，不还是猪肉嘛——
42	冰块
43	所以说，咱已经不想再吃冰块啦！！！
44	鹿肉
45	听着还挺新鲜的，那就快去准备吧！
46	唔，不过要做成冷盘的话，摆盘的也很重要呢……
47	啥呀？好吃不就可以了吗？
48	料理也需讲究美丽呢。要是能用月光草来点缀的话，这道料理应该就完美了！
49	草的部分怎样都好，快去准备吧！咱已经等不及了！
50	……知道啦知道啦。
