ID	Content
0	琪露诺，你今天又在玩什么呀？
1	咱们刚刚结束捉迷藏的游戏，你来晚啦！
2	我又没有说要玩。你们妖精天天就这样嬉闹玩耍，玩不腻吗？
3	当然不会啊！生活每天都这么有趣，怎么会腻呢？
4	妖精们什么都不用考虑，一点烦恼都没有，真让人羡慕啊。
5	什么啊——别把妖精说得像个笨蛋一样！
6	就算是咱们，也是有很多烦恼的！
7	诶，妖精能有什么烦恼啊？
8	唔……比如说今天晚上吃什么？
9	……
10	无忧无虑大概就是指的妖精的生活吧。
11	不过，为梦想而烦恼、而奋斗的人生也很有趣就是了！
12	梦想？这有什么好烦恼的？
13	想做什么就去做不就好了嘛。
14	这不是那么简单的事啦。
15	那是什么啊？
16	诶，就是……那个……
17	我正在以开一场盛大的演唱会而努力……
18	那就去开啊，这不就是很简单的事情嘛？
19	所以说，没有你想的那么简单啦。
20	租场地、搭舞台、还有各种设备和道具，都是要钱的！
21	所以我现在才要努力赚钱啊。
22	干嘛这么麻烦啊，你以前不是在哪里都能唱吗？
23	那完全不一样啦！
24	你想象一下。你站在舞台上，聚光灯“啪”地一下打开，就像燃烧了夜晚。你还看到台下所有人都在翘首以盼——
25	这和平时的即兴演唱不同，在演唱会里，大家都是为了听我的音乐才汇聚一堂！
26	怎么可能不让人心情澎湃，光是想想都感觉全身充满了力量——
27	听、听起来很酷嘛。总之，咱知道你想开一个最强的演唱会了。
28	既然如此，最强的咱也会支持你的。
29	说好了哦，到时候你一定要来玩啊。
30	那是当然，最强的演唱会怎么能少得了最强的咱呢！
31	没错！我们都会成为最强的！
32	突然感觉有点燃呢！
33	连你都有梦想，最强的咱也不能输！
34	决定了！咱的梦想就是，总有一天——
35	咱要亲手把那个池塘里的臭蛤蟆冻起来！
36	好耶——诶？蛤蟆？
37	这是好久以前的事了。那天，咱普通地在池塘附近冻青蛙，这只臭蛤蟆趁我没有防范，居然一口把咱给吞了——
38	呜哇——好逊哦。
39	那不是普通的蛤蟆！它是山的那边的神秘沼泽池的主人，有两个人那么大呢！
40	诶——
41	不过，虽然它很强，但最强的咱是不会输给它的！咱逃出来的时候，可是让它的胃结冰了呢！
42	这不就完了嘛，你干嘛还要惦记着那只大蛤蟆？
43	因为乌鸦把这件事写成了报道，把咱写得跟一个笨蛋似的！因为这件事，咱被其他妖精笑话了好久！
44	所以，咱一定要再找到那只大蛤蟆决斗，让大家知道，咱才是最强的！
45	……说到底，不还是因为你老玩冻青蛙的恶作剧，才会被那只大蛤蟆报复嘛。
46	如果你真的那么闲，与其冻青蛙取乐，不如来帮我采集食材呢。
47	咱冻青蛙不是为了取乐，也不是因为青蛙很吵什么的，是为了冻结的修行！咱要让大家知道，咱是最强的！
48	那当然。如果你不是最强的，我也不会来拜托你啦。
49	诶？是、是这样吗——
50	采集不是随便谁都可以胜任的工作，不仅要对这附近非常了解，还需要有很强的实力才可以呢！
51	啊哈哈哈——你总算明白了咱的强大！既然这样，咱就来帮帮你吧。谁让咱是最强的呢！
52	不愧是最强的妖精，冰之琪露诺啊。那就感激不尽啦！
