ID	Content
0	华扇小姐，您常常在村子闲逛，有听过这件事吗……
1	我并不是在闲逛，而是在传道授业——算了，你是指什么事？
2	我听说，村子里有个荞麦面店，不知为何最近生意特别火爆——
3	不过作为同行，我也不太好大摇大摆地去人类的店里。
4	这不是同行的问题吧，你还是个妖怪啊。
5	唔，就是说啊。我要是去的话，就会有种砸场子的感觉吧……
6	但是，真的好想去学习一下。
7	如果我是什么狐狸之类的妖怪就好了呜呜。
8	你说的那个店，我确实有所耳闻。之前那个店还有着被福神光顾的传闻呢。
9	福、福神！？
10	就是那个传说中店铺被祂光顾后就会生意火爆的福神吗！？
11	啊，关于这件事——
12	真好啊，我也想让福神光临我们家的食堂呢~
13	……
14	怎么样才能让福神到我们这边来呢，使点手段什么的吗？但对方毕竟是神明……
15	……
16	果然还是应该去那个荞麦面店看看吧！真羡慕他们啊……
17	够了！真是听不下去！
18	干、干嘛突然生气了啊？
19	真是的，一个两个都是这样。
20	什、什么嘛……
21	福神啊，并不是为了让生意火爆所以才去光顾的。
22	而是一开始就只会去找一定会生意兴隆的店铺。
23	咦，是这样吗？那……
24	像你这样打着小算盘想招来福神的店，祂根本就不可能光顾。
25	呜……
26	唉。你也无需气馁。
27	你想要让福神光顾，这个愿望本身是没有错的。
28	但要实现这个愿望，只能靠你自己去努力哦。
29	一步一步地让自己的店成为能够让福神光临的店吧~
30	我……我明白了！
31	果然捷径什么的是不存在的。还是“脚踏实地"比较适合我啊，虽然我是一只鸟~
32	真是孺子可教，脑子比某个巫女强太多了。虽然是只鸟。
33	嘿嘿嘿~
34	作为奖励，我教你一个新菜谱吧。
35	虽然是很简单的料理，但却是大众口味，对食堂来说也许正好合适呢。
36	哇！谢谢~
37	嗯……那么，你先去找些牛肉来吧。
38	诶——不能直接把食谱给我吗？
39	刚刚才说了要脚踏实地，怎么又想着一步登天了？
40	……好吧。
41	还没好吗？
42	嗯……不错，没有随便找块牛肉来敷衍我呢。
43	我对食材的挑选可是很认真的！
44	好，那我就教你怎么用牛肉来制作盖浇饭。希望你能够不忘初心，一直坚持下去。
45	谢谢您！我会努力的！
