ID	Content
0	仙人并未完全舍弃情欲，所以无法归于天界，一般隐居于世间。
1	常在自然，这是通往强大的近路哦。
2	天之道，利而不害。圣人之道，为而不争……
3	华扇小姐，您是在念诗吗？
4	不，我在咏唱真言。无论清晨还是日落，仙人都必须要面朝炙阳咏唱上万次真言。
5	仙人的修行真辛苦啊。修行结束后不如到我的店里来休息一下吧！
6	也好。劳逸结合才能活得更久呢。
7	天之道，利而不害。圣人之道，为而不争……
8	华扇小姐，您是在念诗吗？
9	我在咏唱真言。无论清晨还是日落，仙人都必须要面朝炙阳咏唱上万次真言。
10	仙人的修行真辛苦啊。修行结束后不如到我的店里来休息一下吧！
11	谢谢你的邀约。但我最近的修行其实有些怠惰，我今天想一口气把之前落下的补回来。
12	如果结束后还有时间的话，或许我会突然到访哦。
13	唉——
14	华扇小姐，您怎么啦？
15	最近动物们往我的仙界囤了不少食材，真是头疼啊。
16	为什么头疼啊？这不是好事吗！？
17	仙人的生活理应朴素，动物们既住在仙界，便是仙宠，怎么能放纵这种占有欲呢。
18	您说得对！如果您实在烦恼不知道怎么处理这些食材，我可以帮您解决哦！
19	这样也不错。那就给你吧——
20	真的！？十分感谢！
21	华扇小姐，在神社的宴会上，您经常负责准备酒呢。
22	没办法……就灵梦那个样子，也准备不了什么好酒啊。
23	说的也是呢。不过您准备的酒真的很香醇，是从哪儿来的呢？
24	这个嘛，是通过特殊渠道升级过品质的酒哦。地上是不可能获得的。
25	好可惜……我还想着去进些货呢。
26	我这儿还有些酒，虽然品质比不上那些，但也算不赖。不嫌弃的话可以拿去哦。
27	当然不嫌弃！谢谢您！
