ID	Content
0	慧音老师……
1	米斯蒂娅？怎么了，一副欲言又止的模样？
2	我在一些客人那里听说了一些关于“秘密结社”的事情……
3	……
4	那些事都已经传到你这里了吗……
5	我也只是听到了一点而已，什么要解开幻想乡的秘密之类的……
6	这到底是怎么回事呀？
7	有传言说，村子里的一些人类成立了一个秘密结社。
8	目的是为了发现人类和妖怪居住于幻想乡里的印记，以期解开幻想乡的秘密。
9	这……感觉有点危险啊。对人类来说。
10	是啊。对人类来说，确实很危险。
11	他们还调查妖怪的活动范围，据说一些极端场合下，有人会在调查中因此而遇难。
12	为什么人类总是会做出这种不怕死的行动呢？
13	明明本来寿命就已经很短了……
14	其实，这些行为不仅关乎人类自身的安危，也关乎整个幻想乡的平衡。
15	诶？
16	一些人类已经忘记了妖怪的恐怖，并且试图把她们赶出幻想乡，这是不妙的。
17	之前我也跟你说过，人类和妖怪之间存在一个微妙的平衡。
18	这个平衡如果被破坏，幻想乡也会在一瞬间崩溃。
19	这个事情我也稍微知道一些。总之，就是需要人类一直畏惧妖怪什么的……
20	是的。
21	但是，幻想乡也是一直在变化的呀。
22	就算是我也明白，在现在的幻想乡里，人与妖的关系比从前要复杂得多。
23	……是啊，我和稗田家的大小姐也谈论过这件事。
24	我也越来越看不清……人与妖的难道真的能和睦相处吗？
25	唔……
26	我觉得，慧音老师就是包袱太重，所以才会想那么多。
27	您的存在不就很好地解答了这个问题吗？我没见过比您和人类关系更和睦的妖怪了。
28	……
29	我是不懂为什么要烦恼啦，现在的幻想乡不是挺好的嘛？
30	人类和妖怪会一起开宴会、办祭典，不是很有趣吗？
31	在我的小店里，人类和妖怪也是和乐融融地呢。
32	但是……幻想乡的平衡……
33	我不知道幻想乡的平衡到底是什么啦。
34	但我觉得，大自然有它的规律。
35	一个平衡被破坏了，慢慢也会衍生另一个平衡的。
36	……另一个平衡……吗？
37	唔……虽然我也不知道未来会怎样……
38	但我真的很喜欢祭典上大家不分种族一起嬉戏的氛围。
39	我还梦想着将来要开一个盛大的演唱会，无论人类、妖怪、妖精、神明等通通都可以来尽情玩耍呢。
40	……
41	真是个开朗的未来啊。是我太沉浸于历史了。
42	慧音老师总是在人类这边活动，下次也多参加一下妖怪举办的活动如何？
43	现在的人类也会去参加妖怪举办的活动哦。
44	是呢，比如你的演唱会？
45	那、那个……还没有那么快能办起来啦……
46	但是，一定会办起来的，对吧？
47	……嗯！
48	那我是不是可以好好期待一下呢？
49	当然，我连VIP座都给您留好了哦！
50	那还真是感谢。不知不觉中，我已然受到你不少帮助……
51	哪有！我才是受到了慧音老师许多帮助！
52	你不必谦虚。正好，我前阵子给孩子们缝制学童服的时候，多出来一些衣料。我用那些衣料又缝制了一件衣裳。
53	如果你不嫌款式老旧的话，我想把它送给你——
54	慧音老师亲手缝制的衣服？我当然不会嫌弃！
55	那就好。我便以此相祝，愿你的梦想能早日实现。
56	谢谢！我会加油的！
