ID	Content
0	身外的事烦扰你吗？忙里偷闲去学习一些美好的事物吧。
1	今天的课堂氛围不太好，一会儿得去优化一下教学课件才行。
2	慧音老师，您今日下课后有别的安排吗？
3	每日结课后，我都要复习各种资料，以及准备第二天的课业。
4	这样啊……我还想着能邀请您今晚到店里来坐一坐呢。看来是不太可能了……
5	簿书忙里偷闲去，心远地偏陶令趣——
6	诶？
7	工作不可急于求成。偶尔小憩一下也是必要的哦。
8	太好了。那我就静候您的光临啦~
9	慧音老师，您今日下课后有别的安排吗？
10	每日结课后，我都要复习各种资料，以及准备第二天的课业。
11	这样啊……我还想着能邀请您今晚到店里来坐一坐呢。看来是不太可能了……
12	我现在无法给予肯定的答复，或许我工作结束后可以去小憩一番。
13	慧音老师，您拎着大包小包的是什么呀？
14	有些是学生家里种植的农作物，有些是学生家里养殖的家畜海产等……
15	哇，有这么多——
16	人类总希望通过送礼来得到特别关照，明明不需要这样做我也会好好对待孩子们。
17	觉得烦恼的话，拒绝不就好了吗？
18	拒绝的话，他们又会滋生出各种莫名的担心，有时候甚至还会影响我的工作……
19	人类总说“礼多人不怪”，其实也不一定呢。不过，如果是给我的话，我倒是很乐意收下~
20	那你不妨收下，也算是让他们的心意有个落脚处。
21	真的吗？那我就不客气了哦！
22	慧音老师在工作之余会饮酒吗？
23	当然。酒可是有着非常悠久的文化。品酒的同时，也是在品尝它的文化哦。
24	没想到慧音老师对酒也挺有研究的嘛。
25	酒的文化悠久而深远，若能好好了解它们的历史，在品酒的同时便能增添不少益趣。
26	我这儿有些藏酒，如果你感兴趣，不妨拿回去好好品味，体会个中所含之蕴。
27	那我试试！
