ID	Content
0	妹红小姐！见到您真是太好了！
1	发生什么了吗？
2	也没什么，就是那个，我迷路了……
3	这也是竹林常有的事了。我带你走出去吧。
4	但是不应该啊。帝明明说它能够给人带来幸运，这样就不会迷路了！
5	你说的该不会是那个妖怪兔老大吧？
6	对对对！妹红小姐也认识帝吗？
7	她说的话，建议你一个字都不要信。
8	果然是被骗了吗……
9	哼，什么样的主人养什么样的宠物。
10	帝也就算了，辉夜小姐不像是喜欢说谎的人啊……
11	她的狡黠比那个妖怪兔有过之而无不及。
12	唔……你对辉夜小姐真的积怨很深啊。算了，不说这个——
13	听说你在这里住了很长时间，能不能给我的店提点建议呢？
14	你开的是食堂吧，唔……
15	什么都可以说哦，比如味道什么的！
16	像我这种活了太久的、味觉已经退化的家伙，很难从料理中感到喜悦。
17	唔，是刺激不足吗……
18	不愧是老板娘，一针见血呢。那你知道什么口味最容易给食客带来刺激吗？
19	是……
20	甜
21	甜使人生惰，何况我向来对这种美好的味道不感兴趣。
22	辣
23	咸
24	再怎么咸的食物，对我这种味觉已经退化的家伙来说也没什么区别。
25	苦
26	我已经非常习惯苦……这对我来说，不仅无法带来刺激兴奋，甚至就像功课一样。
27	没错，辣味其实不属于味觉，是舌、口腔和鼻腔粘膜受到刺激产生的辛辣、刺痛、灼热的感觉。
28	因此，对于我这种味觉退化的人来说，似乎只有对辣味的反应还算正常。
29	辣味啊……可是，并不是什么料理都适合放辣椒呢。
30	对我来说，倒是什么料理都可以放辣椒。
31	唔……
32	不过，要说最能和辣味水乳交融的料理，也不是没有——
33	正好我家里的辣椒用完了，如果老板娘能帮我采购一些的话，我就把这道料理教给你吧。
34	好啊！我马上就去，等我哦！
35	正好我家里的辣椒用完了，如果老板娘能帮我采购一些的话，我就把这道料理教给你吧。
36	辛苦了。既然如此，我就将这道“麻婆豆腐”的食谱教给你吧。
37	诶……原来只是豆腐吗……
38	这道菜肴做起来确实不难，食材也简单，只是豆腐和一些碎肉末，但它绝对能给你带来超乎想象的惊喜……
39	是、是吗？被您这样一说，我都有些跃跃欲试了。好！那我就做来看看吧！
