ID	Content
0	帕秋莉小姐，今天也是个好天气呢！
1	你还真是优哉游哉啊。
2	……怎么了，您的脸色好像比平时还要白？
3	啊，只是有点贫血而已。
4	贫血……说起来，之前还好几次见到帕秋莉小姐咳嗽不止的样子。
5	那个是因为哮喘症。
6	帕秋莉小姐的身体状况真是糟糕啊。因为是家里蹲吗？
7	……是天生的。可能是维生素A不足吧。
8	就算是天生的，也要好好注意健康哦。
9	我很注意呢。
10	总呆在发霉的图书馆里，才不叫注意健康……
11	那是因为这个地方湿气太重了。图书馆又没有窗，到处还布满了灰尘——
12	所以说别呆在那种地方啊！
13	不，呆在书旁边的我才是我，我不能从书的旁边离开。
14	真固执啊，难怪蕾米莉亚小姐要把您赶到花园来，就是希望您偶尔能透透气吧。
15	……这种事明明无所谓。
16	怎么可能无所谓，您是魔法使诶，念咒语的时候呼吸困难不是很糟糕吗？
17	尤其是在战斗的时候，会陷入危险吧？
18	唔……
19	有句话怎么说来着……读一百本书，走……唔，走多少步路来着？
20	读万卷书，行万里路。
21	对对！帕秋莉小姐读了那么多书，也该到处走走了哦！
22	你怎么知道我没有？我去的地方可比你想象中的远呢。
49	诶？帕秋莉小姐居然会出远门？
50	我有个住在地底的创作方面的笔友，偶尔我也会去地底开创作交流会……虽然是用魔法阵直接传送过去。
51	这不还是没走嘛！
52	能用魔法解决的事为什么要靠双腿？
23	因为旅程的过程和终点同样有趣哦。我的演唱会没有地底那么远，希望您以后可以优哉游哉地过来参加，说不定还能在路上认识到同好呢——
24	嘿嘿。虽然这么说，不过现在还八划没一撇呢。
25	你的演唱会，就是鬼叫狼嚎的那种吧。
26	那是摇滚啦！摇滚！！！
27	而且——那只是我们众多音乐风格中的其中一种，可别小看我们的音乐才能哦。
28	是吗？那我就稍微去一下吧。
29	我会让你呆到最后的！
30	呵呵。没想到，我居然被你这种小妖怪担心了。
31	因为我们是朋友啊——
32	朋友？
33	是、是朋友吧？
34	是不是呢？我可没有这么说过。
35	呜呜——怎么这样——
36	……
37	最近这些日子，你经常在我身边转悠，一开始看你确实不太顺眼，觉得你聒噪又无知，无礼且粗鲁——
38	也、也不至于吧……
39	不过，回想起来其实也挺有趣的。现在要是你不来烦我，我反而还有点不适应呢。
40	嘿嘿——
41	你应该不会在这里逗留太久，是吗？总有一天，你会离开这里，到下一个地方继续修行吧？
42	我……
43	既然如此，我就提前送你一份饯别礼吧。毕竟我也算是一路见证了你的成长……
44	师、师父……谢谢您！
45	别叫我师父！我大概是疯了才会对你说这些话，不要就还给我。
46	对、对不起！帕秋莉小姐，我一定会好好珍惜这份礼物的！
47	哼。演唱会好好加油吧。如果还是鬼哭狼嚎的那种，我一分钟都不会呆下去。
48	知、知道啦……
