ID	Content
0	灵梦小姐！您好！
1	喔，是你啊。有什么事？
2	啊哈……灵梦小姐这次没有直接动手打人呢……
3	你是觉得我那样做比较好吗？
4	不是不是！还是这样亲切的灵梦小姐比较好！
5	……
6	你现在好歹算是金主，而且香客似乎也因为你的店多少增加了一些。
7	就结果来说，我算是占了便宜吧。
8	那、那真是太好了……
9	哎，堂堂一个神社，居然要靠妖怪开的食堂来增加人气，想想还真不甘心啊。
10	您之前不也一直是这样做的嘛。
11	怎么可能——
12	找各种由头来举办祭典，一方面收妖怪的摊位租金，一方面利用妖怪的摊位来吸引人流……
13	唔……
14	就是因为这样，人类才会说您是妖怪巫女——啊，我可没有这么说过哦。
15	我、我也没办法啊！大家都不过来，我只能自己想办法增加神社的营收！
16	妖怪们闲着也是闲着，过来帮我赚点钱总比到处捣乱惹事强吧……
17	没错！我或许通过这样的方式维护了幻想乡的和平哦！
18	……
19	怎么？你有什么意见吗？
20	当、当然没有。
21	哼。还是说，妖怪们也觉得我是妖怪巫女？
22	唔，也就人类会觉得您是妖怪巫女，我们妖怪都觉得您是红色杀人魔——
23	哈？
24	咳——咳咳——我是说，红、红色勇者！
25	……
26	那、那个……对了！灵梦小姐对我们的店有什么建议吗？
27	这话题转得也太生硬了吧！我听到了啊，你刚刚明明说我是——
28	我、我这次就是想做一下……那个……调查。
29	啥？我不过是光顾几次你的店而已，为什么要帮你做这种麻烦事？不要得寸进尺啊。
30	这是为了了解客人喜好而做的调查，灵梦小姐难道不想得到定制服务吗？
31	就是说，做一些我喜欢吃的是吧？
32	唔，也不是这个意思……好吧，我尽量……
33	你就算做再多我喜欢吃的料理，不还是要钱？我哪有那么多钱天天下馆子……
34	对啊！说起来——
35	店里平民价格的料理实在太少了！
36	诶？
37	至少多提供点好吃又便宜的饭团什么的吧？
38	饭团……那个……
39	想去光顾你的店，在门口看一下菜单就想溜了！
40	啊……
41	作为平民食堂实在是太失格了，听好了——
42	只有价格实惠的料理才可以温暖人心，就让我来传授你温暖饭团的做法吧。
43	好、好的！
44	所谓温暖饭团，就是既便宜又能给人带来温暖并且还能够饱腹的超性价比料理。
45	便宜和饱腹我能理解，但是饭团要怎么才能给人带来温暖啊？
46	便宜和饱腹的组合，还不足以温暖人心吗？
47	……
48	为什么不吐槽啊！？当然不止如此啦。
49	诶？因为这确实很像灵梦小姐会说的话……
50	……温暖饭团的精髓在于，藏在其中的那一团炽热哦！
51	内有法门吗？究竟是什么呢……
52	呵呵，不好好思考的话是无法领悟到个中真谛的。想让我教你怎么做，就去找出这团“炽热”吧！
53	为什么灵梦小姐也热血起来了……啊，不理我了。看来是真的要我自己去找啊……
54	唔，能给人带来温暖的食材吗？到底是什么呢……
55	以灵梦小姐的个性来说的话……啊！难道是——
56	牛肉
57	牛、牛肉！？这么奢侈的食材，哪里温暖了！？
58	洋葱
59	露水
60	你也太瞧不起平民了！露水能吃饱吗！？
61	冰块
62	你是认真的吗？
63	洋葱吃起来有些辛辣，而且也便宜，以灵梦小姐的性格来说，象征炽热的食材应该就是它吧……
64	好！那就去找些洋葱交给灵梦小姐吧！
65	想让我教你怎么做，就去找出这团“炽热”吧！
66	居然真被你找到了啊。
67	唔，灵梦小姐还是很好懂的。
68	……总之就是这样，你自己好好练习吧。掌握了这道料理，就连我也能经常去光顾了！
69	是！
