ID	Content
0	你真把我这里当自己家了吗？总是隔三差五就看到你。
1	我可以把这里当自己的家吗！？
2	……说什么傻话。这里可是神社！
3	唔，这个神社究竟供奉了什么神明？为什么感觉那么亲切呢？
4	你是在挑衅我吗？
5	诶？我怎么敢……我是真心的啦！
6	不管是灵梦小姐还是博丽神社，我都很喜欢！
7	拜托了，你还是别那么喜欢吧。
8	就算您这么说，可是大家都很喜欢您呀……
9	你指的是妖怪吗？你们到底喜欢我什么，我改还不行吗？
10	这……您今天是怎么了？心情不太好吗？
11	一个个的尽给我添乱，我心情能好吗！？
12	灵梦小姐……
13	没什么事快给我回去！我现在看到妖怪就生气！
14	……不、我不走！
15	……转过来让我看看你现在翅膀是不是真的硬了。
16	嘿嘿嘿，不要啦！啊——好痒啊！
17	……
18	真是服了你了。做了一段时间生意，这脸皮真是越来越厚了。
19	嘿嘿。怎么说呢，在跟灵梦小姐做了一段时间邻居后……
20	我知道灵梦小姐其实也并没有传闻中那么可怕。
21	哼。在你们眼里，我不是红色杀人魔嘛？
22	啊，您上次果然是听到了……
23	废话——别傻站着了，既然赖着不走，就坐下喝杯茶吧。
24	是！那我就不客气啦！
25	你还是多少客气点吧。
26	嘿嘿——哇！这次的茶味道很不错呢！
27	是吧？难得你能喝出来。
28	哎呀——这样坐着喝茶的感觉真是悠闲啊！难怪您这么喜欢。
29	就是说啊，我可以这样坐一辈子。
30	哈哈哈，那也太夸张了吧！灵梦小姐就没有什么梦想吗？
31	如果你说的梦想是那种热血沸腾的东西，我应该没有。
32	我只希望能过上没有乱七八糟的麻烦事的安稳生活。
33	如果说这也算是梦想的话，这就是我的梦想吧。
34	这的确像是灵梦小姐会说的话呢。
35	只可惜，想过安稳生活并没有那么容易。每一个平凡的日常，都是连续发生的奇迹啊。
36	嗯……
37	那你呢？
38	我？
39	你应该有些像样的梦想吧？
40	唔，这么说的话……精进厨艺，然后一直将食堂经营下去应该是我的梦想之一。
41	果然，是那种热血的梦想，让人有点羡慕啊。
42	除此以外……
43	还有啊？
44	作为歌唱的夜雀，我想让我的歌声传播到幻想乡的每个角落。所以，现在也在为了以后能开个演唱会而努力着哦！
45	这种奢侈的梦想居然有两个那么多。可够你受的。
46	那不是太远的梦想，但需要很多钱。所以我要好好经营雀食堂，顺利的话，说不定两个梦想都能实现。
47	等攒到足够的钱，我要开一场幻想乡盛大的演唱会！
48	到那一天，希望灵梦小姐也能来捧场哦！我会给你最前排的票！
49	这票不用花钱吧？
50	不用不用……
51	那没问题！
52	哇——太好了！谢谢您愿意来捧场！
53	我又没做什么……你这样反而让我有点不好意思了。
54	对了，我前阵子收拾仓库的时候，找到了一件以前的巫女服……
55	虽然有点掉色，不过既然你这么喜欢……这么喜欢神社和我……就送给你当个纪念吧。
56	嘿嘿！我就知道灵梦小姐是刀子嘴豆腐心！
57	……你少给我嘚瑟。我可警告你哦，千万别穿着巫女服给我惹事，绝对会把你退治掉的！
58	是是是！我知道啦！
