ID	Content
0	小家伙，我们又见面了。
1	啊！萃香小姐！
2	都见过那么多次了，怎么还是一惊一乍的啊。
3	毕竟鬼已经离开幻想乡这么多年，有点不习惯……萃香小姐为什么会经常在神社出现呢。
4	因为这里经常开宴会啊——
5	说起来，灵梦那家伙已经好久没有举办宴会了啊。
6	灵梦小姐最近好像很忙……
7	有什么比开宴会更重要？
8	唔……还是有不少事情……
9	哎，要不就由我来把宴会开起来吧~
10	诶？萃香小姐有举办宴会的经验吗？
11	随便准备点酒，然后把人聚集起来就行了吧。
12	我不觉得大家会这么随便就接受……
13	没问题，只要有我的能力，大家都会来的。
14	萃香小姐的能力？
15	就是说，我可以萃集人心哦。
16	啊！我想起来了！曾经有段时间，神社三天两头就举办宴会，后来听说是被妖怪操纵了……
17	操纵？我只是把想要开宴会的大家聚集起来而已。你当时不是也很开心吗？
18	唔……
19	明明大家都很想开宴会，为什么不能更热闹点呢？我喜欢热闹啊——
20	但是，说到底，就算您把大家聚集起来，办宴会的还是灵梦小姐……
21	灵梦小姐那样的……如果她真的忙起来，应该是有不得不去做的事情吧？
22	强行开宴会的话，会不会给她添麻烦啊……
23	你原来是这样的性格吗？看来和人类接触多了以后，你变得温柔了呢。
24	啊！就是所谓的“人情味”吗？
25	身为妖怪，拥有“人情味”让你很高兴吗？
26	唔……我想要更加了解人类……
27	呵呵，你这个小家伙还蛮有趣的。
28	放心吧，我知道现在不是办宴会的时候。
29	太好了！那个……既然神社最近可能不会举办宴会……
30	如果您不介意的话，不妨到我的店里来玩哦！
31	哦？就是那个小食堂？
32	萃香小姐来的话，我会为您准备些您喜欢的下酒菜，让您可以喝个痛快！
33	哈哈哈，口气倒是不小呢。
34	嘿嘿。萃香小姐觉得什么样的菜式比较适合下酒呢？
35	能够佐酒的菜，至少味道不能太寡淡，不然喝着酒连吃了个啥都不知道。
36	确实如此……
37	也别小家子气地端个小碟子出来，说什么精致啥的。
38	要我说，就该大口吃肉，大口喝酒！嗝~
39	啊哈、萃香小姐不愧是鬼呢……
40	那么，你这小脑瓜儿明白了吗？
41	唔……
42	真是鸟脑袋啊。先考虑一下什么样的食材更适合做下酒菜吧。
43	适合做下酒菜的食材啊……我想想……
44	啊！这个似乎挺合适的——
45	河豚
46	虽说我是无所谓……但河豚体内有毒吧，用这种东西下酒，那些人类可不一定遭得住。
47	猪肉
48	海苔
49	这种一点嚼劲都没有的东西，基本和下酒菜绝缘吧。
50	幻昙华
51	哦？你居然知道幻昙华……这玩意儿也就那些虫子什么的会吃吧。
52	猪肉吗……虽说不是什么高级物，但既然是下酒菜，重点自然是酒，以猪肉相佐也算合适。
53	猪肉可以做很多菜式呢！
54	不同品质的猪肉也有着与其最相配的做法哦。
55	诶……没想到萃香小姐对吃肉也挺讲究的呢。
56	活着就是要享受一切啊！
57	我、我去找些猪肉来，您可以帮我看看这些猪肉适合做什么下酒菜吗？
58	呵呵，三句不离本行，真是个直肠子啊。但我并不讨厌，尽管去吧。
59	是！我马上回来！
60	虽说我不讨厌直肠子，但我讨厌等人。能快点吗？
61	这就是你找来的猪肉——
62	怎、怎么样！？
63	不怎么样。
64	呜呜……
65	不过，用来做炸猪肉排倒是挺合适的。
66	哦哦！
67	这种程度的简单料理，就算是你这小脑袋也能够学会吧？下次喝酒的时候别再让我吃那些寡淡的东西了。
68	诶……好的！
