ID	Content
0	萃香小姐，我有件事一直很好奇……
1	你好奇的事情还真不少啊。
2	因为在幻想乡里，鬼这个种族实在很少见嘛。
3	哼。这里以前可是百鬼夜行的天下哦。
4	但是对现在的幻想乡来说，鬼几乎被认为是不存在的。
5	是啊，我的同伴也不再在人类面前出现……
6	大家都去哪里了呢？
7	鬼族为了远离人类，到了一个人类绝对无法到达的地方。
8	人类绝对无法到达的地方……
9	是地狱哦。
10	诶！？
11	严格来说，应该称为旧地狱。因为那是伴随着地狱小型化计划而被废弃的土地。
12	当年，鬼族对于人类的欺骗行为感到厌恶后，便利用这块地狱多余的土地构建了新的社会。
13	鬼族居然厌恶人类到这种程度，真是让人唏嘘啊。
14	那地方也没有你想象的那么恶劣……倒不如说，弱肉强食的生存环境正合鬼的心意。
15	如今旧地狱都市夜夜笙歌，那些在地上不受待见的妖怪，在地底都过得自由自在、潇洒肆意着呢。
16	如果真的那么快乐，为什么萃香小姐还要独自回来呢？
17	因为我很喜欢热闹，现在的幻想乡太有魅力了。而且——
18	我想要找回鬼与人类之间的信赖。
19	鬼与人类之间的信赖？
20	这样的话，我的同伴或许也会回来。那时候的宴会祭，差一点就成功了……
21	唔，要是所有鬼都回到地上，对幻想乡来说还真是一个超级大事件呢。
22	虽然我希望他们都能回来，不过这事急不了。就让我一边喝酒一边慢慢促进此事吧，反正日子还长着呢。
23	萃香小姐看起来豪迈，其实心思很细腻呢。
24	哈哈哈哈，这还是第一次被这样说~
25	感觉又从萃香小姐身上受到鼓舞了……其实，我也一直有个梦想。
26	哦？当地上最富的老板娘吗？
27	不是啦……不对，也不能说没有这样想过……但我要说的不是这个啦！
28	您看，平时在宴会上，我不是偶尔也会给大家唱歌嘛？
29	光是喝酒都忙不过来了，哪有功夫听歌呀。
30	呜呜，不要这样说嘛……
31	现在我的歌声可能还不够扣人心弦……
32	但是总有一天，我会让我的歌声深深印在每个人心中的！
33	到时候，我会开一场浩大的演唱会，用我的歌声，让整个幻想乡的人都为之迷醉！
34	也包括你哦！萃香小姐！
35	到时候，我一定会唱出让连您也放下酒杯、侧耳倾听的动人歌声！
36	敢在鬼面前放出豪言……我很期待那一天，要是办不到，我可是会把你抓走的哦~
37	嗯，约好了哦！
38	作为约定的凭证，这张vip门票送给您！
39	那么，我需要为这个约定付出什么呢？
40	付出期待就可以了哦。
41	……你平时不总在神社到处转悠捡食材吗？以后可以将这件事委托给我哦。
42	真的吗！？那真是帮大忙了！
43	嘿嘿。鬼的约定向来公平~
44	那以后就请多多指教啦！
