ID	Content
0	天子大人，您又到幻想乡来玩啦。
1	天上实在太闷了，所以下来透透气。
2	虽然您嘴上总是说着嫌弃的话，实际还是很喜欢地上的嘛。
3	哪怕是这种不毛之地，也还是比一成不变的天上要有趣啊。
4	真没想到，在地上人人都向往的天界，居然会这么被天人嫌弃呢。
5	嘛，天上除了我以外的家伙，大概都无所谓吧。
6	哈……这样啊……
7	（所以您才被称为不良天人啊……）
8	天子大人，天界到底是一个什么样的地方呀？
9	天界广阔无边，风景优美，但一眼望去全是桃树。
10	天人们生活悠闲，每天不是欣赏歌舞就是钓鱼、下棋。
11	真不明白那些家伙为什么不会觉得无聊。
12	诶……那，不是还能吃到天界的美味佳肴吗？
13	那只是在你们看来而已，在我看来基本上也就是吃吃帽子上的桃子吧，本来就随时都能吃到——
14	诶！您帽子上的桃子原来真的能吃啊？
15	想尝一尝吗？
16	哇！？可以吗！？
17	这可是天界的桃子诶……据说吃一口就可以延年益寿？
18	地上好像有各种各样的传说。能强身健体倒是真的。
19	但是再怎么好的东西，吃了成千上百年也是会腻的。
20	说的也是……
21	你想吃就吃吧，这种东西吃完了还会再长的。
22	好、好神奇……
23	不是说过吗？我身上之物皆属不凡。
24	哇，真是太感谢了……那我就不客气了！
25	Yummy——Yummy——
26	真是的！吃个桃子还要咂嘴，真粗鲁！
27	嘿嘿……
28	不过，天上的桃子和地上的桃子味道确实是不一样呢。
29	真的？
30	您没尝过地上的桃子吗？
31	在天上已经吃桃子吃到吐，到了地上谁还吃桃子啊。
32	说的也是……
33	不过被你这么一说，我倒是有点好奇地上的桃子是什么味道了。
34	看在您刚刚请我吃蟠桃的份上，我就尽尽地主之谊给您摘几个吧~
35	说好了哦。那我就在这儿等你！快点去摘吧！
36	你还在这晃悠什么呢？不是说要给我摘桃子吗？
37	这就是地上的桃子？看起来也没什么不同嘛。
38	您尝尝吧。
39	Yummy——Yummy——
40	您这吃相也没有很文雅嘛……
41	……唔，虽然不如天上的桃子甜，不过口感还蛮清新的。
42	不仅如此，总觉得天上的桃子有股淡淡的……是什么味呢？太淡了有点尝不真切。
43	要再来一个吗？
44	可以吗！？
45	随便吃啊。我可不像天上那些老家伙，明明有那么多仙丹，只是因为我无聊偷吃了几颗就大惊小怪的。
46	是、是吗……
47	那我就不客气了！
48	Yummy——Yummy——
49	慢点吃……都说了我多的是。
50	唔……果然有股淡淡的……是腥味？
51	腥味？
52	奇怪，为什么天界的桃子会有腥味呢……不过腥而不臭，反倒给桃子增添了一抹独特的香甜。
53	……原来如此。我大概知道这个腥味是来自哪里了。
54	诶！？请告诉我！
55	你都已经推理到这一步了，再稍微思考一下就能得出结论了吧？
56	唔……腥而不臭的天界桃子……这股腥味到底是来自哪里呢……
57	难道是——
58	海带
59	天界才没有这种湿漉漉软趴趴的丑东西。
60	海鸥
61	你不是麻雀吗？难道想同类相食？
62	鱼
63	洋葱
64	别再给我提洋葱了！
65	天人喜欢垂钓，所以天上凡有桃林，必有池塘。或许是因为鱼竿天天拽着鱼甩来甩去，鱼身上的味道沾到了桃子上吧。
66	原来如此……
67	你在想什么？
68	我在想，如果不是您，这大概是我一辈子都无法品尝到的东西。但作为厨娘，我想让大家都可以品尝到这个味道！
69	喂喂，虽然我是说了随便吃，但要供应整个幻想乡还是有点……
70	我不是这个意思啦！我是觉得，或许我也可以做出媲美蟠桃的味道！
71	诶！？
72	只是沾上一点点海鲜味就可以让桃子的甜味得到升华，那我为什么不试试用它们来做料理呢！
73	诶诶诶！？
74	是时候把我珍藏的北极冰虾拿出来了！请您务必帮我尝尝哦！
75	没想到在地上还要继续吃桃子啊……
