ID	Content
0	天子大人，听说成为天人后——
1	终日能悠然地欣赏音乐，自在地抱杆垂钓，纵情地棋盘对弈。
2	无需费力工作，只管悠闲自在地度日。
3	真是让人向往啊——
4	哼，天人的生活优雅而无趣。只有尚未放下妄念的人才会贪恋天人的生活。
5	然而成为天人需斩断七情六欲。所以想要成为天人的人，殊不知自己已经不符合这一条件了。
6	哇，成为天人的条件还真是苛刻。
7	但是，还真难想象您也是这样通过重重难关修得天道的呢。
8	嗯……我确实不是通过修炼而得道的。
9	诶？
10	我们比那名居一族，原本是地上的神官名居一族的部下。
11	名居一族由于对社稷有功，死后飞升为天人。
12	我的父母也由于为神官做事而神格化，才令一族人都成为天人。
13	原来如此，这就是所谓的一人得道、鸡犬升天吧
14	嗯……不对，你把我们一族比做什么！？
15	咳咳。这只是一句俚语啦——
16	不过这还真幸运啊。不用经过无止境的刻苦修炼就能飞升为天人，真让人羡慕。
17	羡慕吗……
18	之前在天上的时候，我一直观察着幻想乡，我倒觉得地上比天上有趣多了。
19	诶，天子大人原来一直在偷窥着我们的生活吗！？
20	什——才不是偷窥！是光明正大的视察！
21	嘻嘻，我明白了——
22	您其实很羡慕幻想乡的人类和妖怪吧？
23	……一派胡言。
24	天子大人虽然总是一副高高在上的样子，其实内心很想被大家依赖吧？
25	……
26	之前灵梦小姐昏迷的时候，听说就是您从地狱里把她带回来的。
27	那只是因为我很无聊……如果她不在的话就更无聊了。
28	虽然您看起来对我不屑一顾，实际上也一直在帮助我呢。
29	而且，即便是我这样的小妖怪——
30	天子大人也是从一开始就主动来和我说话。
31	您……其实很寂寞吧？
32	……燕雀安知鸿鹄之志，区区一只在地上匍匐的妖怪也想来揣度我的心境。不觉得太狂妄了吗？
33	您真是……
34	就是因为您老是说这样的话，所以大家才很难对您温柔哦。
35	唔……
36	认识您以后，感觉对天界啊天人什么的都有点改观了。
37	人人都向往的天界，或许也没有大家想象得那么好呢？还是现在的生活更幸福哦！
38	哦？若你真的是这样想，倒是有成为天人的潜质了。
39	我可做不到无欲无求，我还梦想着要在幻想乡开超——盛大的演唱会呢。
40	演唱会？
41	是啊，您感兴趣吗？我可以给您留座哦！
42	哈哈，这不是挺有趣的嘛！反正我也闲着。
43	那我就稍微期待一下吧，得给我准备VIP的座席哦！
44	没问题！
45	既然如此，我也给予你一些鼓励吧。
46	唔……就把这个给你吧！
47	桃子？谢谢啦！Yam——
48	啊！好硬啊！我的牙都快被咯掉了！
49	真是的，谁让你一拿到就放嘴里了。这桃子不是拿来吃的！
50	不能吃的桃子有什么用啊？
51	这个桃承载了我作为天人的强运，把它放在你的店里，会给你带来好运。
52	哇！真的吗！？
53	当然。不过幸运永远只留给有准备的人，努力才是成功的敲门砖哦。
54	是！我一定会努力的！
