ID	Content
0	米斯琪，你在发什么呆，我们一起去玩吧~
1	嗯……是莉格露啊……
2	怎么啦，一大早就这副无精打采的样子。
3	没什么，我在烦心新菜谱的事情而已。
4	这种过家家的游戏你还没有玩腻啊。
5	别想了，我们出去郊游吧！
6	我没心情啦——
7	哎，菜谱什么的随便不就好了。
8	你不明白啦——
9	好好好，总之只要有新菜谱就能出去玩了吧。
10	这种东西我给你就是了。
11	咦——？
12	哼，我们虫族可是上古时期就存在的种族。
13	无论是什么文化那都是历史悠久的——
14	哎，下次再听你回忆过去的辉煌啦！
15	快告诉我新的菜谱吧！
16	给！这是我早上做的——
17	什么啊，这不就是水煮蛋嘛。
18	这可不是普通的水煮蛋哦，你先尝尝再说吧。
19	唔……咦，有种清甜的感觉！这是怎么做的？
20	哼哼，想知道？
21	别卖关子啦！
22	你应该也留意到，早上的时候，在树上可以采集到露水吧？
23	嗯？啊……好像是吧。
24	嘿嘿。你去采集一些露水给我，我就告诉你答案~
25	诶——不要嘛——你自己去采啦——
26	……想知道答案的话，就拿露水来找我！
27	还没好吗？
28	就采集了这么点啊——
29	收集露水很麻烦啊。总之我已经带来了，你就快告诉我吧！
30	还不明白吗？答案就是这个啊~
31	……什么？我是说为什么那个水煮蛋的味道那么清甜啦！
32	真是——就是因为那是特别用露水来煮的蛋啊！
33	露水？只是用来煮食材而已，用什么水有区别吗？
34	你们鸟类在这一点还真是没有我们昆虫敏锐啊。
35	你知道吗？我们萤火虫在幼虫的时候尚且还是吃肉的，但是蜕变为成虫之后，就几乎不吃不喝。
36	仅仅吃点露水和花蜜，哪怕最后使自己饿死——
37	……为什么呀？
38	因为只要尝过一次露水的清甜，就会觉得那些肉糜腥臭难咽了。
39	哇——
40	露水呢，是清晨时留在树叶上的、水质非常清冽甘甜的水。
41	用它来处理食材的话，食材的口感也会随之改变哦。
42	所以这个并不是一般的水煮蛋，而是露水煮蛋！
43	这还真是有趣啊，不过收集露水真的很麻烦诶。
44	我来帮你呀！走，趁现在天还早着，我们采露水去~
