ID	Content
0	你最近来我这儿来得真勤呀。
1	以前你可是很讨厌我这些可爱的虫虫们呢。明明是只鸟。
2	我可是很挑食的哦……
3	什么呀，你这不还是瞧不起我们虫子嘛。
4	没有啦，你是我的好友啊，我总不可能把好友当食物吧……
5	好吧。现如今瞧不起昆虫的人太多了……
6	过去，说到虫之妖怪，那可是和鬼与天狗并列的令人恐惧的对象。
7	虫族的力量急剧衰退一事，至今都还是谜呢。
8	是呀，虽然不想承认，但如今的虫类真的太弱了。
9	唔……
10	上古时期，常常会有大量的毒虫互相厮杀。
11	最后留下来的那条虫子是最强的，之后会拥有妖力。那可是连天狗都会由衷地感叹“真可怕”的存在。
12	可现在，除了你以外，已经没有真正的虫之妖怪了。
13	是啊，现在就连人类都能随便把虫子捏死。
14	所以我常常想，作为虫之领袖，我必须要做点什么才行！
15	但有时候又无法控制地陷入孤独中……
16	莉格露……
17	没事啦，我可是虫王，很快就会振作起来的。
18	我要让人们了解，昆虫也有有益的一面！
19	所以现在正在朝着这个方向努力呢。
20	没想到你竟然这么辛苦，太不容易了。
21	我并不觉得辛苦，只是常常觉得自己做得还不够。
22	不愧是领袖呢。好！我也必须要加油才行！一起来实现梦想吧！
23	好！一起实现梦想吧……咦？
24	你的梦想是什么来着？
25	嘿嘿，我的梦想就是要在幻想乡举办一场有史以来——
26	最盛大、最豪华、最狂热的个人演唱会哦~
27	呜哇，听起来好酷哦。
28	是吧是吧，所以我现在才要努力经营雀食堂赚钱。
29	我说你怎么突然开了个食堂，原来是这样啊。
30	你到时候一定会来的吧，你可是我的挚友哦！
31	那不是当然的嘛，你可得给我留个VIP位置哦！
32	到时候，我会带上很多很多萤火虫来给你应援的！
33	没问题！VIP门票早就给你准备好啦！
34	哼，这还差不多。既然这样，我也来给你的梦想助力吧。谁让我是你的挚友呢！
35	真的吗？你要真想帮忙的话，不如来帮我做些采集工作吧。
36	你还真不客气啊。不过采集……也不是不行，正好让虫虫们也活动活动筋骨。
37	昆虫也有筋骨吗……总之真是帮大忙了！那之后就请多多指教了！
38	包在萤火虫大人的身上吧！
