ID	Context
0	简单来说就是“赚钱”！
1	你不是经营着一间只有夜里才开的食堂吗？用白天的时间收集食材和酒水，晚上开店时将它们做成美味的料理端到客人的餐桌上。
2	这样日复一日，只要足够努力，资金就会不断地积累……
3	有了钱的话，一两个梦想什么的，都可以实现啦！
4	米斯琪是太累了吗？那么就让我重新帮你回忆一下吧！
5	要确认老板娘的等级效果吗？看这张图吧！
6	这件事啊……我知道了，那么我就帮你重新回忆一下吧！
7	这是你的王牌！请一定要好好的使用这项技能呀！
8	飞行是在新地图之间快速旅行的能力！真羡慕有翅膀的你呢！
9	只要按下M，就可以看到大地图，选中想要去的地方，就可以快速到达啦。
10	只要按下X，就可以看到大地图，选中想要去的地方，就可以快速到达啦。
85	只要按下-键，就可以看到大地图，选中想要去的地方，就可以快速到达啦。
11	根据地图的距离，相邻的地图需要30分钟，如果飞行线路上每多一个地图，就要多花30分钟哦。
12	对了，在本地图进行旅行的话，则不消耗时间。
13	嗯……米斯琪有每天写日记的习惯吧？
14	每天的经营结束，也就是在结算之后，会出现写日记的画面，那个日记，就是米斯琪的存档哦。
15	只要好好地存档，即使暂时关闭了游戏，下次也可以从之前的进度继续游戏，是非常好用的功能！
16	虽然有很多小伙伴想要实时存档的功能……
17	但很遗憾，因为这个作品从最底层开始就是按照一日一存的方式去设计的，现在再去改底层……已经不太可能啦，未来的作品我们会尽量满足各位小伙伴关于即时存档的需求的。
18	这款作品，暂时只能这样存档了哦！
19	第一！请尽量每天存档！
20	第二！请尽量不要把所有的档都存在一个档位上！尽量分开存档即能抵御丢失风险，如果有什么想看却错过的剧情还能返回去重来！俗话说烤肉不能盛在一个盘子里嘛！
21	第三！要尽量备份存档！虽然本游戏支持了云存档，但steam的同步功能反而会经常把存档搞坏！
22	为了避免这个事情的发生，您可以进入游戏的安装目录，双击“存档 ~ SaveData”，这里就是游戏的存档文件了，把它们拷贝出来稳稳地放好，就万无一失啦！
23	第四！如果遇到BUG，或者异常情况，可以马上进入游戏的安装目录，双击“日志 ~ LogData”|将其中的Player.log和Player-prev.log打包发送到”serv1ce-deyu@qq.com“邮箱，并且进行情况说明，我们就会进行查看和修复！
24	那两个文件就是最新鲜热辣的运行日志，通过它们我们会更快的定位到错误，有助于高效的修复BUG！
25	暂时就是以上这么多了！请熟记在心哦！
26	米斯琪确定要回忆这部分内容吗？会占用你一点时间，中途不能退出哦！
27	我从寺院的参拜客那里听到了一些有关经营的技巧，不知道米斯琪你知不知道——
28	如果能合理运用，以后工作起来可能会事半功倍呢！
29	以后只要我收集到新的技巧情报，我都会发出感叹号形状的弹幕来提示你！
30	那么，你想让我详细说说下面哪一条呢？
31	在仓库里使用置顶键就能将一个料理/酒水/厨具/素材设为置顶啦！
32	被设为置顶的物品会在菜单配置界面与夜间营业的多数界面上置顶显示，如果是置顶料理的话就算不挂上菜单也会出现在快捷制作栏！
33	在面对大量食谱而没法记住详细素材的情况下会是个非常好用的功能！酒水、素材与厨具的置顶也能让你很方便地找到常用的东西！
34	不过，料理、酒水与厨具最多只能设置20个上限，而素材则是水产、肉、素、其它各5个上限，不能贪心哦——
35	毕竟，如果都置顶了不就等于都没置顶嘛！
36	在进入夜间营业前的菜单配置界面，在这里可以打开预设界面并保存当前菜单的预设！
37	如果米斯琪你至少保存过一种预设，下次开店前就会自动把首个预设作为当晚的菜单配置，就不用费心费力地重复去寻找菜单摆放了！
38	在经常使用同一种菜单的情况下，预设列表里也可以随时设置首位的预设。
39	不过要注意自己的库存，不要把今日菜单上的料理素材用光了哦！
40	不然客人进店以后就只能点最普通的海鲜味噌汤和绿茶了！
41	米斯琪应该注意到你的地下室有一面大墙了吧？
42	你之前说要用那面墙来摆放收藏品来着，如果你获得了新的店铺摆件，记得去那里把它们设置成摆放状态哦。
43	这样你就能在开店时享受到这些摆件带来的增益啦！
44	你看过你的衣柜了吗？如果穿腻了某件衣服，就去衣柜换一身新形象，或许会带来新的活力呢。
45	有的衣服或许能让你的店也跟着你焕然一新哦！
46	之前去米斯琪家里玩的时候，我看到你的地下室多了一台留声机。
47	米斯琪也开始听各种各样的音乐了吗？
48	我们乐队以后也可以尝试一下更多类型的音乐创作呢！
49	使用它的话，还可以设置在开店时播放的音乐，真是个方便的道具～
50	米斯琪，你知道村子南边的那家古董店吗？
51	那里的店长是个随心所欲的家伙，卖东西全凭兴趣，谁也不知道他到底在想些什么！
52	不过他的店里偶尔会出售一些稀奇古怪的食材和酒水，还售卖有特殊功能的厨具和一些杂货。
53	有些东西甚至不收钱，只要一些不知道有什么用的小东西，像是什么石头啊，符咒，青蛙硬币之类的——
54	对了！我之前顺路去看了眼，那店里居然还有不少漂亮衣服！
55	也不知道他是从哪里搞来的这些，看上去就像是为你量身定做似的……
56	顺便一提，我听参拜客说那个店长有时候会发行购物折扣券。
57	虽然他们都觉得这折扣券和天狗的报纸一样，只能当吸油纸……但米斯琪如果有购物需求，可以攒了购物券再去，这样能省不少钱呢！
58	米斯琪，你去过那个白玉楼了吗？
59	说是冥界的观光胜地，真没想到冥界原来是在天上呢！光是看到那台阶我都觉得腿软了！
60	我听一些灵说，如果能再度通过妖梦小姐的两个试炼，似乎可以得到意外的奖励！
61	还有那位冥界之主的最终试炼，据说恢复正常的她会在第三轮拿出真正的实力……真可怕啊，之前那个模样居然是手下留情了吗？！
62	如果米斯琪对自己有更高的追求，不妨去挑战一下——
63	开玩笑啦——！那种鬼地方才不要去呢！
64	最近有关DLC门票的事情在整个幻想乡都闹得沸沸扬扬的呢！
65	如果米斯琪你也能搞到报纸上说的DLC门票就能去对应的地方旅游了！
66	不过我听说DLC门票有一定的解锁顺序，取决于你当前已经解锁的地图，入手门票时要看清楚哦。
67	唔，如果各个地区都已经解锁了，门票却还没有激活……
68	也许去睡一觉就好了呢～
69	米斯琪也知道，幻想乡流行符卡游戏。那些有名有姓的人几乎都有自己的专属符卡。
70	只要让她们用餐时非常满意就可以触发她们的奖励符卡啦！
71	如果你不清楚她们具体的符卡效果，也可以在你的笔记本里查看他们的符卡信息哦。
72	我听说某些客人的符卡还能强制修改其他客人的评价，像这样作弊一样的符卡似乎有不少呢。
73	有些符卡之间的相互配合更是能产生意想不到的组合效果！米斯琪不妨多动动脑筋研究一下。
74	合理搭配稀有客人的奖励符卡，会让经营变得更加轻松，或是赚到更多的钱！
75	要是我在店里工作的时候也能像她们一样乱丢自己的符卡就好了……
76	米斯琪，你有听说魔法森林的传闻吗？
77	什么传闻？
78	听说魔法森林有人在进行地下交易……
79	诶？这是……
80	具体我也不太清楚……算了，这事暂时也和我们没什么关系吧？
81	唔……
82	还是先把手头上的事情解决了要紧！有什么会比举办我们自己的演唱会更重要的事情呢！
83	是、是啊……
84	不管什么事，先把演唱会办起来再说吧！
