ID	Context
0	小小的但是充满能量的料理，不是很像你的小摊吗？
1	那么按照约定，我帮你扩张店铺吧，可要好好干快点还钱哦~
2	哼哼，最近大家想吃的鱼烧烤，果然小麻雀都能弄来~
3	这个店铺可是相当的大，你可要加油干哦。
4	哦！真的弄来了。我的流浪猫一直很想吃到最近人间之里很流行的“文化底蕴”的料理呢~
5	那么按照约定，我帮你扩张店铺吧，这个店铺可是相当地大，你要加油干哦。
6	单纯的甜味猫咪们已经吃腻啦~水果的味道清清爽爽的，正好呢！
7	那么按照约定，我帮你扩张店铺吧。
8	猫果然还是吃不了热的东西，凉爽的东西在这个天气吃最棒了！
9	那么按照约定，我帮你扩张店铺吧。这个店铺可是相当地大，你要加油干哦。
10	这种外来的饮食有什么好的……不过，别人有的我家猫咪也得有！
11	那么按照约定，我帮你扩张店铺吧。
12	讨厌的人类居然随便就来投喂我的猫咪，我用这个梦幻般的料理扳回一局！
13	那么按照约定，我帮你扩张店铺吧。这个店铺可是相当地大，你要加油干哦。
14	这次这个又热又辣的料理不知道猫咪们会喜欢吗…
15	不过总之谢谢你！那么按照约定，我帮你扩张店铺吧！
16	多亏了你，猫咪们也能品尝到这种不可思议的和风料理！
17	那么按照约定，我帮你扩张店铺吧。这个店铺可是相当地大，你要加油干哦。
