ID	Context
0	你店里的生意越来越好了嘛，来你店里的客人已经比神社都要多了。
1	灵梦小姐的神社……基本没有什么人吧……
2	还不是因为你们这些家伙老是不请自来！
3	因为大家其实都很喜欢灵梦小姐吧~
4	哈?你在说什么鬼话，我可是退治妖怪的巫女好吗！
5	……不过，
6	你的店能够聚集到这么多人的话……
7	如果在神社开分店的话，会不会也能把人吸引到神社来呢……
8	在、在神社开分店吗！?
9	要是你能把店弄得更气派一点，来神社开店也不是不可以……
10	哇，从来没想过诶，这真的可以吗！?
11	唔……让我再考虑考虑……
12	姑且先问一下，租金什么的你肯定是会给的吧?
13	那是当然！
14	！！！
15	还、还有！既然要到神社开店……
16	在工事前肯定要给一笔诚意满满的香油钱，这你懂的吧?
17	诶……
18	这就有点难办了，开分店本身就已经要不少钱了……
19	天空一声巨响，俺闪亮登场咯~
20	什么啊，这土到爆的登场发言。
21	你这家里蹲巫女懂什么流行。
22	什么！?我看你是又皮痒了，果然还是退治了比较好是吧！?
23	等等……灵梦小姐，她是来找我的，请手下留情……
24	来这儿当然是找你的，但那跟我有什么关系啊！梦想——
25	你们刚刚说的我可是全都听到了哦！
26	偷听别人说话还一脸嘚瑟，这是你们家的传统艺能吗?
27	可、可恶，我不想和你说话了！
28	老板娘，我跟你说！
29	诶……啊……我也听着呢……
30	你想去神社开店对吧~
31	唔……不过……
32	只要能用钱解决的问题，都不算问题！
33	问题就是没钱……
34	但是有我啊！
35	最近我们又推出了一个新的贷款套餐，现在一看简直就是为你量身定做的！
36	……
37	哎呀，你的运气可真是好啊，我都羡慕你了。
38	这么好的事情，你断然不可能拒绝吧?
39	可是我……
40	喂，你们还做这种业务啊，也借我一点呗。
41	抱歉，我们家做生意的原则是，不借给红白色和黑白色的家伙。
42	什——
43	灵梦小姐您冷静一点，我就算能借钱，结果也是到您手上的啊……
44	好像是这么回事……那你还犹豫什么，还不赶紧答应她！
45	就是就是！时不可失机不再来啊！
46	你们怎么突然就统一战线了……好吧，我明白了。
47	既然这样，那开分店的资金也继续麻烦橙酱你了……
48	不麻烦不麻烦，不过呢，让我们先把上一个债务的欠款结了吧~
49	不错不错，老板娘很讲信用嘛。接下来在新的借款协议上盖上手印就可以了~
50	又是事先就准备好借款协议了吗……
51	仿佛一开始就知道我会再欠下债务一样……
52	哪、哪有啊？只是万一！对，万一你有需要呢？有备无患嘛！|好啦——任务完成，我先走了！再、再见——
53	还说什么任务，明明就很可疑……
98	有人借钱真好啊……那就先这样吧！我也该走了——
99	灵梦小姐慢走……
54	就是现在！
55	哇！你是？
56	我是村子的借书屋——铃奈庵的店员，本居小铃！
57	啊！我想起来了，你偶尔也会来我们“这边的宴会”呢……
58	没错，我也是“这边的人”哦。我等你好久了。
59	诶？为什么要等我？
60	之前听阿求说，有个妖怪在村子里开了食堂，我还不太相信……
61	前几天偷偷去看了一下，居然是真的！
62	啊，响子说最近总有人在店附近徘徊，原来就是你啊——
63	身为妖怪，居然在人类的村子里做出这种事……
64	别、别害怕！我并没有伤害过任何人，只是很普通地经营食堂而已！
65	这个食堂，居然面向所有人类、妖怪开放……
66	这也是得到灵梦小姐和慧音老师允许的！请放心，我们一直很安分——
67	没想到……
68	真没想到……
69	虽、虽然我的能力不强，但是在我经营期间，我一定不会让客人发生危险！
70	没想到——人类居然可以和妖怪这么融洽地汇聚一堂！这实在太让人热血沸腾了！
71	不！请你相信我——诶？
72	这景象实在是太奇妙了！
73	我一直以来致力于妖魔书的研究，就是希望可以更了解妖怪。
74	没想到居然存在这种地方。这里是比铃奈庵更优越的能够观察妖怪的场所！
75	是、是吗……
76	我也很想亲身参与到这样环境中。所以，我这次来，是想请求你雇佣我为伙伴！
77	诶？可你还是小孩子吧……而且是人类……
78	别小看我啊！我虽然年纪小，但是很早以前就在借书屋里工作了哦！我早就已经独当一面啦！
79	就算你这样说……
80	我已经争取到家人和灵梦小姐的许可了！
81	诶！？可是……
82	如果是担心我的安危的话，大可不必哦。因为一些奇遇，现在一般妖怪没法伤害我的。
83	但是……
84	健康方面也没问题！晚上工作晚一些，早上多睡一些就好了。反正借书屋本来就是在午后才陆续有生意上门。
85	看来，你是铁了心要来啊。
86	没错！谁也不能浇灭我想要近距离观察妖怪的热情！
87	我大概能理解为什么灵梦小姐会许可了，估计也拿你没办法吧……真想看看灵梦小姐吃瘪的表情呢。
88	我刚刚也听到你和那个猫又的对话。不是要开新店吗？人手肯定越多越好吧！
89	这倒也是。明天开始我们就要到神社开店了，或许会需要人手……
90	太好了！以后就请多多指教啦！
91	诶！？我、还没…
92	那就明天见！我得去做一些准备！
93	……
94	现在的人类小孩好大胆啊……
95	比起我这个刚进入人里还要战战兢兢的妖怪来说，人类真是不可思议。
96	不过，既然灵梦小姐许可了，那她也不是普通的人类小孩吧……
97	好吧！新店和新伙伴……明天更要加油了！
