ID	Content
0	灵梦小姐，这是怎么一回事……？
1	实在是难以置信！居然在博丽神社放了别的神龛！
2	是什么人……居然敢和灵梦小姐作对！
3	啊啊，怎么想都是那个2p色的家伙！大概是借助了神明的力量，那个东西对我不起任何反应，也没法破坏！
4	你去给我调查一下那个神龛究竟是怎么回事！
5	诶……诶，好的……
6	灵梦小姐，我去那边调查了一下……获得了这个东西。
7	哦？
8	……
9	感觉是很破烂的周边啊。
10	那……
11	唔，好像放着不管也不会出什么事情的样子，毕竟门口也没有赛钱箱，不会和我抢香火钱——
12	那就不管啦，喝茶去了。
13	诶？就不管了吗？
14	如果收集青蛙硬币说不定会有什么好事发生哦。
15	哗哗！
16	哇哇！？
17	啊呀，持有虔诚信仰，参拜了这间小小神龛一百次之人，是你吗？
18	也，也可以这么说吧……
19	（其实只是因为会出现食材才会天天过来……）
20	为了奖励你的虔诚，予以汝奇迹——
21	诶诶？！
22	这，这是……
23	哼哼，没有女孩子能拒绝这份可爱！
24	那么，夜雀哟，维持你虔诚的信仰吧，我们终有一日会再次相遇——
25	啊，消失了……
26	虽然这么说，但是感觉这次已经把这个神龛的终极奖励给我了。
27	算了，就这样也不错~
28	什、什么声音！？
29	……既然灵梦小姐都不管了，以后有空去看看应该也没关系吧？说不定真的能得到什么呢~
