ID	Content
0	好！今天也要努力——
1	早啊，米斯琪！
2	早！响子！
3	你来得真早啊！今天不用诵经扫地吗？
4	哪能啊！我已经把门前的地扫完了。住持早上要带信徒在门前诵经，所以一时半会不会到寺庙后面去。
5	等我们商量完，我得赶在住持回去前把后院扫了！
6	辛苦了……你也真是不容易啊。
7	都不容易……听说冥界有个仆从，从来没有薪水，只有生病的时候才偶尔有休假。
8	还有个侍奉恶魔的女仆，更是日日夜夜从不停歇。据说还因此练就了操作时间的本领。虽然看起来只有十几岁，实际上已经工作几十年了！
9	你这都从哪听说的啊……
10	天狗的报纸啊。
11	和她们相比，我已经算很好了！一年还能休息10天呢！
12	……既然时间不多，我们就赶紧进入正题吧！
13	对对！
14	给灵梦小姐办的暖场live，应该是怎样的风格呢？
15	音乐风格自然是我们最擅长的摇滚啦！
16	唔……关于这个……
17	怎么了吗？
18	没什么……就先这样吧。那舞台什么的呢？
19	我们现在也没有钱布置舞台。看店里有什么趁手的东西，到时候挑出来用一下吧……
20	嗯……在这样寒酸的条件下，极尽所能让灵梦小姐高兴起来吧！
21	你们似乎在策划着什么有趣的事情呢！
22	哇——
23	吓、吓我一跳——您不是——！？
24	萃、萃香小姐！？您是从哪里冒出来的啊……
25	嗝~你们刚刚说要办live？
26	啊，您都听到了吗……
27	这不是挺好的嘛，我也来帮忙吧~
28	诶！真、真的吗？
29	真失礼啊，鬼是不会说谎的哦。
30	但是，为什么……
31	你们是为了灵梦才办的吧？
32	灵梦那家伙最近总是很累的样子，连宴会都不开。
33	原来是因为什么压力啥的，真是无聊死了。快点让那个家伙恢复精神吧~
34	原来如此……萃香小姐也很喜欢灵梦小姐呢。
35	那个家伙如果没有精神，就啥都不剩了吧。
36	啊哈哈！说得没错！
37	诶……您怎么也……
38	区区live什么的，就趁这个机会，让你们见识一下什么是天界的风格吧！
39	这个意思难道是说……
40	天子小姐也想来帮忙吗！？
41	天界风格的live啊！或许会很有趣呢，哈哈哈！
42	总觉得萃香小姐一副看热闹的样子……
43	米斯琪，真的能交给这两个人吗？
44	唔……
45	怎么？你们是有多孤陋寡闻，连天人的话都敢质疑？
46	不……我……
47	放心吧。这个家伙只是和你们一样，想为灵梦做点什么而已~
48	哼，能得到我这般身份高贵的天人的帮助，是尔等卑贱的地上民的福分！
49	虽然是来帮忙的，可是说的话真是让人感激不起来啊……
50	唔，那……就拜托各位了……
51	那么~就决定是下周末了！
52	接下来……
53	宴会嘛~最重要的自然是酒啦。
54	哼，地上污秽之物能做出什么高贵的料理？也就鬼之酒能勉勉强强达到我的标准吧。
55	天上的家伙，食材就交给你吧~
56	诶？……当、当然！就交给我吧！
57	那我……
58	小麻雀啊，你就先去准备点灵梦那家伙会喜欢的酒吧。
59	（灵梦小姐平时喜欢的酒应该是 烧酒 类的。）
60	好的！
