ID	Content
0	霖之助先生——
1	哎呀，这不是最近到处开分店的夜雀老板娘嘛——
2	你这样的大老板过来，肯定不会空手回去的吧？
3	……您这儿有适合酿红酒的酒坛子吗？
4	酒坛子？……当然！
5	您刚刚是不是犹豫了一下……
6	酒坛子而已，我不仅有，而且还有全幻想乡最好的！
7	真的吗！？
8	我从来不骗人。请稍等，现在就去给你拿过来。
9	辛苦了！
10	请看，就是这个！
11	唔……我不太懂，这看起来似乎就是一般的陶瓷罐子……
12	所以说你不懂货吧。
13	这个陶瓷罐看似普通，但所谓的非凡之物都是大隐于市。
14	那……这个陶瓷罐子有什么特别的吗……
15	这可是有来历的。它叫做「土龙罐」，相传可是龙神升天前在地上存酒用的酒坛子。
16	龙、龙神！？就是有雕像在村子中央的那位！？
17	可不是嘛！用它酿出来的酒醇香悠长，光是闻到就让人垂涎三尺。
18	哇！我就要这个了！
19	不愧是经营着数家食堂的老板娘，看在您这么识货的份上，我给您打个折！
20	非常感谢！
21	不客气，那么原价5000，特惠价是2000，打了折扣只要这么多！请您付一下！
22	……这个陶瓷罐子居然要这么贵！？
23	这可不是普通的陶瓷罐子啊，这可是龙神——
24	知道了知道了！我、我付就是了——
25	多谢惠顾~
