ID	Content
0	咦？这儿是不是少了什么？
1	你怎么还来啊？不是都要去红魔馆那边开店了吗？
2	那也不妨碍我来找灵梦小姐玩嘛~
3	你还真是粘人啊，像狗皮膏药似的……既然来了，要喝茶吗？
4	好呀——话说，这儿原来是不是还有个石像来着？
5	哦。你是说这家伙啊——
6	您好！一直以来辛苦了！
7	诶？我们认识吗？
8	我是高丽野 阿吽！您可能不认识我，但是我一直都看着您哦！
9	什、什么——
10	这家伙就是门口那个狛犬。一个突然冒出来的超级自来熟。别管她就好。
11	灵梦小姐，您这样说不太好吧……
12	哈？我又没有对她怎么样——
13	灵梦小姐对我很好的！能够被大家注意到我的存在，我就已经很满足了！现在的我拥有着前所未有的幸福！
14	真是个好孩子啊……啊！我想起来了——
15	你就是大家说的那个博丽神社的守护兽吧！？真好啊——灵梦小姐您应该更加爱惜她啦！
16	什么守护兽，不就是妖怪嘛……
17	您真是身在福中不知福啊。大家对她的评价可是很高的哦！如果您不需要，要不让她到我的店里来当守护兽吧！
18	哈——！？
19	正好我不是要到恶魔馆那边开店嘛，有个守护兽在，感觉心里也踏实些……
20	我很乐意！我会努力成为能够帮助到您的伙伴！
21	谢谢你！
22	喂喂，你们是把我当空气了吗！？
23	是您自己放着这么乖巧的神兽不用嘛……
24	用不用先放在一边。怎么说也是我家的守护兽，你想让她到食堂去帮忙——
25	也不是不行。就像付给小铃佣金那样，向我支付佣金就可以了。
26	凭什么啊——
27	大家不都说嘛，这是博丽神社的守护兽。你要借走博丽神社的守护兽，向我支付佣金不是很应该吗？
28	但是再怎么说，也应该是支付给阿吽吧……
29	我不需要啦！如果能给灵梦小姐的话，我会更开心！她真的很需要钱。
30	……好吧。既然你没有意见，那就支付给灵梦小姐吧。
31	一开始就该这样嘛~
32	那我现在就把她带走了？
33	只是晚上开店的时候借你用一下而已。白天的时候她还要给我继续当石像哦——要是参拜客过来发现少了一只，不是非常奇怪吗？
34	……
35	灵梦小姐在各种地方都有着无懈可击的精明，真适合当资本家啊……
36	你说什么？
37	没、没什么——
38	没关系的！我本来就是狛犬嘛。灵梦小姐愿意收留我，我非常高兴！
39	你还真是相当喜欢灵梦小姐啊……
40	因为在我还没有成为妖怪之前，我就一直和灵梦小姐在一起了呀！能继续下去真是太好了！
41	……我明白了。既然这是你的希望，那我尊重你的想法！
42	非常感谢！以后请多多指教，我会努力成为博丽神社和夜雀食堂的福兽！
43	我、我才要说非常感谢呢！以后就拜托你了！
44	阿吽成为伙伴！现在可以在开店前雇佣阿吽了！
