ID	Context
0	虽然在我看来，这场没有硝烟的战斗毫无疑问是我的完胜——
1	但那个脑浆全是灰烬组成的家伙无论如何都不肯认输，一直叫嚣着要再比试一场。
2	就算再比一百场，你们之间宿怨也不会结束……
3	那是当然。不过……
4	并不是我想惯着她，只是她一天到晚在我面前大肆叫嚷，吵得我玩游戏的手都在抖……
5	这确实有点……
6	与其这样一直被她叨扰，不如你挂上不死鸟与竹取姬的菜牌，让我们再决高下。这样一来，她大概也能消停一些。你意下如何？
7	- 拒绝
8	抱歉，上回已经折腾了几天，我想让客人们换换口味，也想让大家尝尝我做的新料理……
9	那便让那只蠢鸟再吵个几日吧，总会有口干的时候。
10	- 同意
11	只是把不死鸟和竹取姬挂上菜牌，对我来说是举手之劳啦。
12	那么三日后，还麻烦你过来报告一下这两道菜式的销量情况哦。
13	……好的。 
14	那个熔浆脑竟然用黑毛猪这种粗鄙之物来侮辱竹取姬的名讳——
15	更可恶的是——她制作的料理竟然胜过我精心制作的“不死鸟”！我不服！我要再比试一场！
16	就算再比一百场，你们之间宿怨也不会结束……
17	其实我也不是愿赌不服输……实在是那个蠢货过于嚣张！她、她竟然半夜潜到我屋里放鞭炮庆贺——！
18	这确实有点……
19	与其这样一直被她叨扰，不如你挂上不死鸟与竹取姬的菜牌，让我们再决高下。这样一来，她大概也能消停一些。你意下如何？
20	- 拒绝
21	抱歉，上回已经折腾了几天，我想让客人们换换口味，也想让大家尝尝我做的新料理……
22	既然这样，我们两的恩怨就由我们自己来解决吧~
